x,T,U_0,rho,p,rho,U_0,U_1,U_2
0.000625,293,6.09E-13,1002.15,1.00E+07,1002.15,6.09E-13,0,0
0.001875,293,-5.17E-13,1002.15,1.00E+07,1002.15,-5.17E-13,0,0
0.003125,293,-2.93E-12,1002.15,1.00E+07,1002.15,-2.93E-12,0,0
0.004375,293,-3.85E-12,1002.15,1.00E+07,1002.15,-3.85E-12,0,0
0.005625,293,-2.73E-12,1002.15,1.00E+07,1002.15,-2.73E-12,0,0
0.006875,293,-2.41E-12,1002.15,1.00E+07,1002.15,-2.41E-12,0,0
0.008125,293,-1.43E-13,1002.15,1.00E+07,1002.15,-1.43E-13,0,0
0.009375,293,2.95E-12,1002.15,1.00E+07,1002.15,2.95E-12,0,0
0.010625,293,-6.55E-13,1002.15,1.00E+07,1002.15,-6.55E-13,0,0
0.011875,293,-3.24E-12,1002.15,1.00E+07,1002.15,-3.24E-12,0,0
0.013125,293,-4.60E-12,1002.15,1.00E+07,1002.15,-4.60E-12,0,0
0.014375,293,-5.88E-12,1002.15,1.00E+07,1002.15,-5.88E-12,0,0
0.015625,293,-8.47E-12,1002.15,1.00E+07,1002.15,-8.47E-12,0,0
0.016875,293,-8.61E-12,1002.15,1.00E+07,1002.15,-8.61E-12,0,0
0.018125,293,-1.20E-11,1002.15,1.00E+07,1002.15,-1.20E-11,0,0
0.019375,293,-1.95E-11,1002.15,1.00E+07,1002.15,-1.95E-11,0,0
0.020625,293,-2.08E-11,1002.15,1.00E+07,1002.15,-2.08E-11,0,0
0.021875,293,-1.89E-11,1002.15,1.00E+07,1002.15,-1.89E-11,0,0
0.023125,293,-2.11E-11,1002.15,1.00E+07,1002.15,-2.11E-11,0,0
0.024375,293,-2.08E-11,1002.15,1.00E+07,1002.15,-2.08E-11,0,0
0.025625,293,-1.75E-11,1002.15,1.00E+07,1002.15,-1.75E-11,0,0
0.026875,293,-2.01E-11,1002.15,1.00E+07,1002.15,-2.01E-11,0,0
0.028125,293,-2.61E-11,1002.15,1.00E+07,1002.15,-2.61E-11,0,0
0.029375,293,-2.68E-11,1002.15,1.00E+07,1002.15,-2.68E-11,0,0
0.030625,293,-2.33E-11,1002.15,1.00E+07,1002.15,-2.33E-11,0,0
0.031875,293,-1.88E-11,1002.15,1.00E+07,1002.15,-1.88E-11,0,0
0.033125,293,-1.57E-11,1002.15,1.00E+07,1002.15,-1.57E-11,0,0
0.034375,293,-1.34E-11,1002.15,1.00E+07,1002.15,-1.34E-11,0,0
0.035625,293,-1.16E-11,1002.15,1.00E+07,1002.15,-1.16E-11,0,0
0.036875,293,-8.21E-12,1002.15,1.00E+07,1002.15,-8.21E-12,0,0
0.038125,293,-5.36E-12,1002.15,1.00E+07,1002.15,-5.36E-12,0,0
0.039375,293,-6.24E-12,1002.15,1.00E+07,1002.15,-6.24E-12,0,0
0.040625,293,-6.07E-12,1002.15,1.00E+07,1002.15,-6.07E-12,0,0
0.041875,293,-1.20E-12,1002.15,1.00E+07,1002.15,-1.20E-12,0,0
0.043125,293,2.37E-12,1002.15,1.00E+07,1002.15,2.37E-12,0,0
0.044375,293,-1.13E-14,1002.15,1.00E+07,1002.15,-1.13E-14,0,0
0.045625,293,-3.45E-13,1002.15,1.00E+07,1002.15,-3.45E-13,0,0
0.046875,293,1.09E-12,1002.15,1.00E+07,1002.15,1.09E-12,0,0
0.048125,293,3.27E-12,1002.15,1.00E+07,1002.15,3.27E-12,0,0
0.049375,293,6.21E-12,1002.15,1.00E+07,1002.15,6.21E-12,0,0
0.050625,293,5.51E-12,1002.15,1.00E+07,1002.15,5.51E-12,0,0
0.051875,293,4.77E-12,1002.15,1.00E+07,1002.15,4.77E-12,0,0
