distance,T,p,U_0,U_1,U_2
0,356.161,3499.05,12.2778,-4.8249,0
0.00153939,355.832,3476.17,19.8514,0.571275,0
0.00307879,355.954,3468.85,15.5944,0.703906,0
0.00461818,355.531,3446.16,6.31762,3.12122,0
0.00615758,350.592,3419.51,-42.6158,10.2739,0
0.00769697,347.275,3340.72,-109.445,4.68066,0
0.00923636,343.506,3280.95,-145.656,2.61695,0
0.0107758,340.519,3273.38,-167.259,2.0077,0
0.0123152,338.089,3312.64,-181.69,1.71253,0
0.0138545,336.912,3368.2,-187.778,1.64501,0
0.0153939,336.113,3509.7,-191.139,1.51115,0
0.0169333,336.492,3725.21,-187.556,0.680765,0
0.0184727,337.427,3914.81,-181.234,0.214629,0
0.0200121,339.65,4272.55,-166.616,-0.661788,0
0.0215515,341.483,4559.11,-153.417,-1.22933,0
0.0230909,344.515,5062.38,-128.85,-2.14193,0
0.0246303,346.478,5440.67,-110.099,-2.68272,0
0.0261697,348.223,5849.93,-90.0957,-3.08737,0
0.0277091,350.295,6521.15,-58.3765,-3.81675,0
0.0292485,351.175,6993.27,-36.5572,-4.10583,0
0.0307879,351.615,7480.6,-14.1569,-4.46065,0
0.0323273,351.552,7974.03,8.14139,-4.24687,0
0.0338667,350.553,8709.36,41.8152,-3.28521,0
0.0354061,349.36,9182.12,63.6984,-3.23689,0
0.0369455,347.818,9633.11,84.5812,-3.11119,0
0.0384848,345.976,10058.8,104.452,-2.99062,0
0.0400242,343.844,10453.7,123.585,-2.87985,0
0.0415636,341.511,10817.4,141.864,-2.75791,0
0.043103,339.008,11144.3,158.949,-2.63255,0
0.0446424,336.37,11433.2,174.846,-2.43896,0
0.0461818,333.63,11685.2,189.895,-2.25519,0
0.0477212,330.827,11899.7,204.093,-2.05529,0
0.0492606,328.022,12083,217.29,-1.87636,0
0.0508,326.669,12167.6,223.549,-1.77927,0
0.0523394,324.015,12314.4,235.025,-1.59498,0
0.0538788,321.435,12435.2,245.726,-1.44311,0
0.0554182,318.953,12535.1,255.566,-1.29341,0
0.0569576,316.608,12619.8,264.526,-1.15114,0
0.058497,315.48,12655.3,268.675,-1.07818,0
0.0600364,313.347,12720.5,276.495,-0.962537,0
0.0615758,311.362,12775.1,283.588,-0.855494,0
0.0631152,310.413,12799.1,286.935,-0.814371,0
0.0646545,308.535,12827.8,293.435,-0.741777,0
0.0661939,306.733,12839,299.575,-0.645731,0
0.0677333,305.921,12847.6,302.303,-0.595578,0
0.0692727,304.496,12872.3,307.056,-0.51269,0
0.0708121,303.829,12885.4,309.264,-0.489991,0
0.0723515,302.513,12898.9,313.577,-0.438596,0
0.0738909,301.298,12907.7,317.525,-0.383176,0
0.0754303,300.744,12912.9,319.319,-0.357355,0
0.0769697,299.728,12924.7,322.595,-0.313284,0
0.0785091,299.26,12931.3,324.101,-0.292176,0
0.0800485,298.42,12948.7,326.798,-0.255353,0
0.0815879,298.055,12960.7,327.969,-0.239372,0
0.0831273,297.72,12974.7,329.047,-0.223818,0
0.0846667,297.122,13006.3,330.962,-0.198617,0
0.0862061,296.812,13021.3,331.949,-0.20622,0
0.0877455,296.121,13022.3,334.137,-0.199522,0
0.0892848,295.704,13006.9,335.456,-0.169774,0
0.0908242,295.083,12981.5,337.379,-0.178922,0
0.0923636,294.965,13029.4,337.877,-0.0928956,0
0.093903,294.617,13026.8,338.987,-0.128628,0
0.0954424,294.648,13057.7,338.959,-0.0933832,0
0.0969818,294.487,13103,339.512,-0.102517,0
0.0985212,294.374,13124.7,339.888,-0.108169,0
0.100061,294.243,13142.2,340.315,-0.105292,0
0.1016,293.943,13166.9,341.287,-0.0979901,0
0.103139,293.785,13175.3,341.797,-0.0930105,0
0.104679,293.625,13182.7,342.314,-0.0879771,0
0.106218,293.467,13187.4,342.832,-0.082157,0
0.107758,293.144,13190.5,343.882,-0.0696918,0
0.109297,292.99,13190.9,344.403,-0.0616552,0
0.110836,292.864,13192.8,344.826,-0.0539198,0
0.112376,292.757,13195.7,345.211,-0.048213,0
0.113915,292.573,13203.4,345.879,-0.041026,0
0.115455,292.499,13208.6,346.149,-0.0377075,0
0.116994,292.436,13214.7,346.401,-0.0346724,0
0.118533,292.384,13221.5,346.603,-0.0313108,0
0.120073,292.337,13229.7,346.808,-0.0320773,0
0.121612,292.315,13239.7,346.917,-0.0226917,0
0.123152,292.315,13250.8,346.999,-0.0201721,0
0.124691,292.329,13273.5,347.075,-0.0114836,0
0.12623,292.339,13284.4,347.106,-0.00970799,0
0.12777,292.349,13293.7,347.145,-0.0069379,0
0.129309,292.364,13303.3,347.153,-0.00347686,0
0.130848,292.386,13313.5,347.143,-0.0020357,0
0.132388,292.412,13323.5,347.121,-0.00097011,0
0.133927,292.429,13332.9,347.122,-0.0023092,0
0.135467,292.446,13339.8,347.137,-0.000170707,0
0.137006,292.441,13345.3,347.189,-0.00183573,0
0.138545,292.429,13345.2,347.273,0.00278069,0
0.140085,292.403,13342.5,347.398,0.00449935,0
0.141624,292.374,13338.5,347.534,0.00604131,0
0.143164,292.334,13331.9,347.693,0.00967076,0
0.144703,292.31,13324.3,347.861,0.0157683,0
0.146242,292.326,13324.5,347.851,0.0150685,0
0.147782,292.338,13322.4,347.867,0.0188762,0
0.149321,292.361,13322.5,347.845,0.0205604,0
0.150861,292.407,13325.6,347.76,0.02053,0
0.1524,292.467,13330.8,347.633,0.0235353,0
