distance,T,p,U_0,U_1,U_2,,,HLLC,HLL
0.118533,292.38,13221.4,346.598,-0.0312601,0,,,0.992851028,0.995501855
0.120073,292.333,13229.6,346.802,-0.0320521,0,,,0.993466801,0.995832269
0.121612,292.31,13239.5,346.912,-0.0227484,0,,,0.994210234,0.995787213
0.123152,292.311,13250.7,346.993,-0.0201406,0,,,0.995051289,0.99568959
0.124691,292.325,13273.4,347.068,-0.0115308,0,,,0.996755929,0.994705856
0.12623,292.335,13284.3,347.099,-0.0097765,0,,,0.997574456,0.995591968
0.12777,292.345,13293.6,347.138,-0.00698155,0,,,0.998272832,0.995652043
0.129309,292.36,13303.3,347.146,-0.00351122,0,,,0.999001247,0.995659553
0.130848,292.382,13313.5,347.135,-0.00207678,0,,,0.999767208,0.996230269
0.132388,292.408,13323.5,347.113,-0.00102266,0,,,1.00051815,0.996695853
0.133927,292.425,13332.9,347.115,-0.00236886,0,,,1.001224036,0.997431777
0.135467,292.442,13339.8,347.131,-0.000299973,0,,,1.001742186,0.9981677
0.137006,292.437,13345.2,347.184,-0.00180923,0,,,1.002147695,0.998963699
0.138545,292.424,13345.1,347.268,0.00285243,0,,,1.002140186,0.99973717
0.140085,292.398,13342.4,347.394,0.00442354,0,,,1.001937431,1.000540679
0.141624,292.369,13338.3,347.531,0.00602651,0,,,1.001629545,1.001291621
0.143164,292.329,13331.7,347.689,0.00966024,0,,,1.001133923,1.002020035
0.144703,292.305,13324,347.858,0.0157174,0,,,1.000555697,1.002568223
0.146242,292.321,13324.2,347.848,0.0150698,0,,,1.000570716,1.00300377
0.147782,292.333,13322.1,347.864,0.0189385,0,,,1.000413018,1.003371732
0.149321,292.356,13322.2,347.842,0.0206099,0,,,1.000420528,1.00352192
0.150861,292.402,13325.3,347.757,0.0205485,0,,,1.00065332,1.003461845
0.1524,292.462,13330.5,347.629,0.0235774,0,,,1.00104381,1.003326675
