distance,T,p,U_0,U_1,U_2
0,226.444,2304.73,3.38148,-1.55923,0
0.00153939,226.594,2282.72,-13.1902,3.09671,0
0.00307879,226.481,2200.47,-75.7071,5.66829,0
0.00461818,224.572,2044.74,-131.98,1.67542,0
0.00615758,221.327,1961.29,-165.875,1.01397,0
0.00769697,219.308,1960.31,-185.476,1.43447,0
0.00923636,218.366,2020.92,-197.576,1.88718,0
0.0107758,218.935,2165.1,-201.297,2.42629,0
0.0123152,221.536,2415.07,-194.932,1.10974,0
0.0138545,224.391,2655.41,-184.32,-0.00100655,0
0.0153939,229.922,3142.39,-158.042,-1.93704,0
0.0169333,237.101,3810.09,-121.04,-4.11171,0
0.0184727,242.371,4358.48,-91.7896,-5.45361,0
0.0200121,249.93,5303.03,-43.7463,-6.68413,0
0.0215515,253.604,5974.94,-12.4844,-6.93751,0
0.0230909,259.17,6944.87,25.7227,-4.71182,0
0.0246303,260.584,7567.21,51.8115,-5.13196,0
0.0261697,261.389,8162.94,77.174,-4.92211,0
0.0277091,262.086,8976.34,111.283,-4.21174,0
0.0292485,262.208,9460.78,131.511,-3.8055,0
0.0307879,262.151,9898.76,150.231,-3.54443,0
0.0323273,262.02,10283.8,167.057,-3.0577,0
0.0338667,261.743,10775.7,189.134,-2.47832,0
0.0354061,261.619,11039.7,202.149,-2.10294,0
0.0369455,261.574,11264.4,213.962,-1.72714,0
0.0384848,261.467,11444.4,224.691,-1.44465,0
0.0400242,261.35,11585.1,234.632,-1.21822,0
0.0415636,261.353,11699.3,243.543,-0.991932,0
0.043103,261.466,11796.3,251.391,-0.7908,0
0.0446424,261.547,11875.6,258.471,-0.628351,0
0.0461818,261.756,11916.5,266.745,-0.394261,0
0.0477212,262.792,12124.9,268.336,-0.426778,0
0.0492606,262.87,12115.9,275.25,-0.239578,0
0.0508,263.743,12248.1,274.905,-0.253028,0
0.0523394,263.922,12290,278.761,-0.358093,0
0.0538788,264.977,12405,281.532,-0.144085,0
0.0554182,265.453,12467.4,284.164,-0.20257,0
0.0569576,265.784,12502.1,287.628,-0.221426,0
0.058497,266.094,12520.2,289.822,-0.0946366,0
0.0600364,267.098,12641.3,290.558,-0.114452,0
0.0615758,267.485,12666.4,293.216,-0.150758,0
0.0631152,267.744,12675.5,295.139,-0.0582822,0
0.0646545,268.657,12774,295.741,-0.0825518,0
0.0661939,269.066,12782.8,298.559,-0.0403486,0
0.0677333,269.626,12833.7,298.56,-0.0390383,0
0.0692727,270.127,12862.8,300.062,-0.0667563,0
0.0708121,270.37,12865.8,301.457,-0.0111084,0
0.0723515,271.264,12943.3,301.705,-0.0314536,0
0.0738909,271.809,12966.2,303.122,-0.0228165,0
0.0754303,272.127,12983.6,303.674,-0.0176087,0
0.0769697,272.639,13005.5,305.035,-0.0231359,0
0.0785091,272.819,13002.3,305.893,-0.0358234,0
0.0800485,273.146,12968.8,308.037,-0.0313934,0
0.0815879,273.4,12957.2,308.821,-0.0191869,0
0.0831273,273.741,12949.1,309.688,0.0200453,0
0.0846667,274.591,12975.6,310.047,0.0459511,0
0.0862061,275.154,13014.7,309.68,0.0335343,0
0.0877455,275.914,13068.4,309.784,0.0145337,0
0.0892848,276.248,13089.5,309.938,0.00822669,0
0.0908242,276.533,13104.4,310.236,0.00176403,0
0.0923636,276.967,13096.2,311.287,-0.0117405,0
0.093903,277.224,13092.7,311.748,-0.0102555,0
0.0954424,277.514,13091.4,312.312,0.0154523,0
0.0969818,278.416,13140.2,311.925,0.02561,0
0.0985212,278.874,13172.1,311.682,0.0204539,0
0.100061,279.263,13200.9,311.532,0.0182069,0
0.1016,279.947,13254.3,311.356,0.00727877,0
0.103139,280.244,13275.8,311.407,0.00669224,0
0.104679,280.524,13289.8,311.524,0.00620744,0
0.106218,280.761,13299.7,311.748,-0.00271973,0
0.107758,281.14,13292.6,312.514,-0.00271432,0
0.109297,281.317,13282.5,312.992,-0.0104136,0
0.110836,281.511,13270,313.484,-0.00247756,0
0.112376,281.725,13261.5,313.869,-0.00348403,0
0.113915,282.193,13250.7,314.41,0.0192252,0
0.115455,282.456,13251.6,314.505,0.0295716,0
0.116994,282.722,13252.9,314.618,0.0389371,0
0.118533,283.025,13259.3,314.562,0.0434154,0
0.120073,283.311,13265.3,314.528,0.0491472,0
0.121612,283.622,13273.8,314.441,0.0490055,0
0.123152,283.918,13282.3,314.35,0.0511475,0
0.124691,284.529,13302.7,314.096,0.0519467,0
0.12623,284.826,13313.3,313.962,0.0504884,0
0.12777,285.118,13323.1,313.842,0.0483969,0
0.129309,285.4,13333.2,313.72,0.0456563,0
0.130848,285.676,13341.3,313.631,0.0447431,0
0.132388,285.947,13349.6,313.529,0.042755,0
0.133927,286.2,13357.3,313.475,0.0389725,0
0.135467,286.443,13361.4,313.437,0.0383704,0
0.137006,286.678,13366.5,313.438,0.0355663,0
0.138545,286.89,13366.4,313.482,0.0354261,0
0.140085,287.112,13367.9,313.5,0.0332247,0
0.141624,287.322,13367.7,313.535,0.0317034,0
0.143164,287.528,13367,313.581,0.0301949,0
0.144703,287.722,13365.8,313.635,0.0306925,0
0.146242,287.931,13364.6,313.68,0.0298969,0
0.147782,288.129,13362.9,313.731,0.0313266,0
0.149321,288.329,13361.9,313.76,0.0310957,0
0.150861,288.529,13361.2,313.777,0.0336562,0
0.1524,288.731,13361.4,313.769,0.034325,0
