distance,T,p,U_0,U_1,U_2
0.00155556,266.554,13232,424.028,-1.09765,0
0.00311111,172.865,4868.38,583.912,-168.357,0
0.00466667,143.934,4041.07,609.577,-201.348,0
0.00622222,128.644,3656.84,625.821,-207.263,0
0.00777778,119.191,3497.26,636.35,-212.215,0
0.00933333,112.975,3427.65,644.483,-213.517,0
0.0108889,109.064,3417.86,650.043,-214.04,0
0.0124444,106.935,3440.9,654.225,-213.578,0
0.014,104.295,3410.89,659.254,-212.881,0
0.0155556,103.51,3417.47,661.237,-212.653,0
0.0171111,103.576,3428.18,661.416,-213.134,0
0.0186667,104.011,3438.07,661.245,-212.254,0
0.0202222,104.416,3474.57,660.865,-211.867,0
0.0217778,104.399,3492.91,661.501,-210.744,0
0.0233333,104.462,3501.45,661.575,-210.297,0
0.0248889,104.666,3514.71,661.454,-209.728,0
0.0264444,104.656,3518.3,661.528,-209.525,0
0.028,104.765,3522.96,661.478,-209.316,0
0.0295556,104.725,3523.47,661.567,-209.376,0
0.0311111,104.714,3525,661.592,-209.338,0
0.0326667,103.267,3352.6,661.438,-216.553,0
0.0342222,104.778,3528.86,661.622,-208.795,0
0.0357778,104.828,3535.39,661.606,-208.687,0
0.0373333,104.871,3540.37,661.609,-208.538,0
0.0388889,104.946,3544.43,661.563,-208.351,0
0.0404444,105.009,3548.33,661.51,-208.138,0
0.042,105.021,3550.73,661.517,-208.003,0
0.0435556,104.998,3552.54,661.562,-207.952,0
0.0451111,105.023,3554.98,661.576,-207.845,0
0.0466667,105.021,3555.05,661.633,-207.732,0
0.0482222,105.063,3557.64,661.601,-207.643,0
0.0497778,105.095,3560.45,661.56,-207.6,0
0.0513333,105.096,3561.95,661.568,-207.568,0
0.0528889,105.081,3562.91,661.608,-207.483,0
0.0544444,105.088,3563.88,661.593,-207.428,0
0.056,105.125,3565.63,661.55,-207.385,0
0.0575556,105.123,3565.95,661.56,-207.383,0
0.0591111,105.136,3566.7,661.561,-207.335,0
0.0606667,105.118,3567.19,661.612,-207.295,0
0.0622222,105.125,3568.29,661.627,-207.242,0
0.0637778,105.124,3568.49,661.654,-207.208,0
0.0653333,105.165,3569.4,661.612,-207.161,0
0.0668889,105.128,3565.11,661.702,-207.024,0
0.0684444,106.237,3674.76,660.285,-204.705,0
0.07,111.17,4223.72,657.171,-183.772,0
0.0715556,145.805,9034.26,626.529,-56.4688,0
0.0731111,156.478,11460.1,613.465,-31.3664,0
0.0746667,160.801,12538.7,607.152,-8.80722,0
0.0762222,160.443,12513,607.696,-5.59984,0
0.0777778,160.68,12617,607.121,-4.35331,0
0.0793333,160.894,12666,606.703,-3.88144,0
0.0808889,161.04,12763,606.261,-3.34107,0
0.0824444,161.098,12805.7,606.086,-3.01256,0
0.084,161.245,12883.9,605.739,-2.29693,0
0.0855556,161.38,12929,605.465,-1.98118,0
0.0871111,161.924,13024.9,605.173,-0.808024,0
0.0886667,162.126,13078.8,604.647,-0.697937,0
0.0902222,161.882,13112,604.309,-0.833388,0
0.0917778,162.023,13174.1,603.995,-0.0362735,0
0.0933333,162.276,13227.7,603.489,0.151698,0
0.0948889,162.523,13291.3,602.922,0.951467,0
0.0964444,162.502,13298.2,602.869,1.56123,0
0.098,162.673,13319.8,602.499,2.11746,0
0.0995556,163.166,13376.8,601.729,3.02332,0
0.101111,162.972,13408,601.66,3.16913,0
0.102667,163.178,13461.7,601.166,3.31991,0
0.104222,163.537,13551.4,600.322,3.57518,0
0.105778,163.687,13586.1,599.96,3.74727,0
0.107333,163.768,13606.2,599.728,4.03647,0
0.108889,163.857,13624,599.485,4.34525,0
0.110444,163.998,13656.5,599.02,4.97499,0
0.112,164.073,13677.3,598.767,5.17778,0
0.113556,164.179,13703.4,598.455,5.29785,0
0.115111,164.293,13734,598.131,5.29931,0
0.116667,164.397,13767.7,597.796,5.20758,0
0.118222,164.542,13803,597.486,5.38906,0
0.119778,164.573,13807.5,597.407,5.53003,0
0.121333,164.626,13812.9,597.283,5.64501,0
0.122889,164.694,13819.1,597.122,5.71017,0
0.124444,165.074,13825.8,596.466,5.72856,0
0.126,164.876,13839.4,596.667,5.73239,0
0.127556,164.958,13852.1,596.395,5.67084,0
0.129111,165.079,13860,596.04,5.62592,0
0.130667,165.094,13855.7,595.953,5.62358,0
0.132222,165.111,13850.7,595.868,5.63297,0
0.133778,165.13,13845.9,595.776,5.64188,0
0.135333,165.485,13840.1,595.125,5.63038,0
0.136889,165.511,13833.7,595.089,5.63688,0
0.138444,165.539,13826,595.085,5.63156,0
0.14,165.575,13817.1,595.098,5.62509,0
0.141556,165.247,13808.1,595.736,5.63577,0
0.143111,165.26,13795.5,595.806,5.61976,0
0.144667,165.263,13781.2,595.896,5.57952,0
0.146222,165.256,13764.5,596.016,5.52329,0
0.147778,165.244,13745.9,596.157,5.44806,0
0.149333,165.223,13725.4,596.324,5.36529,0
0.150889,165.193,13703.1,596.509,5.33244,0
0.152444,165.164,13683.5,596.655,5.3308,0
0.154,165.157,13667.3,596.775,5.37723,0
