distance,T,p,U_0,U_1,U_2
0.00155556,266.403,13212.2,424.372,-1.13641,0
0.00311111,179.131,5296.71,571.712,-164.96,0
0.00466667,144.536,4100.17,611.92,-189.971,0
0.00622222,131.076,3850.48,623.867,-204.884,0
0.00777778,120.992,3620.35,635.983,-206.199,0
0.00933333,113.768,3522.79,644.356,-209.653,0
0.0108889,108.638,3468.29,651.488,-210.422,0
0.0124444,105.508,3441.29,656.179,-212.116,0
0.014,104.266,3427.1,659.134,-212.49,0
0.0155556,104.307,3428.94,659.902,-212.782,0
0.0171111,104.752,3470.34,659.937,-212.089,0
0.0186667,104.203,3466.51,661.281,-211.778,0
0.0202222,103.937,3481.35,661.885,-211.688,0
0.0217778,104.042,3492.41,662.055,-210.991,0
0.0233333,104.235,3492.63,661.825,-210.84,0
0.0248889,104.473,3485.44,661.53,-210.652,0
0.0264444,104.643,3492.77,661.315,-210.449,0
0.028,104.675,3509.26,661.361,-210.138,0
0.0295556,104.61,3512.16,661.541,-209.883,0
0.0311111,104.617,3515.97,661.609,-209.634,0
0.0326667,103.016,3329.15,661.545,-217.363,0
0.0342222,104.802,3521.96,661.419,-209.334,0
0.0357778,104.873,3527.25,661.373,-209.142,0
0.0373333,104.851,3530.28,661.483,-208.914,0
0.0388889,104.79,3531.37,661.624,-208.775,0
0.0404444,104.839,3536.78,661.588,-208.658,0
0.042,104.887,3539.56,661.56,-208.523,0
0.0435556,104.937,3541.53,661.528,-208.395,0
0.0451111,104.936,3542.71,661.554,-208.327,0
0.0466667,104.971,3546.41,661.539,-208.225,0
0.0482222,104.947,3546.99,661.601,-208.157,0
0.0497778,104.964,3548.62,661.622,-208.023,0
0.0513333,105.011,3551.35,661.579,-207.936,0
0.0528889,105.037,3554.8,661.554,-207.896,0
0.0544444,105.01,3554.42,661.628,-207.804,0
0.056,105.036,3556.21,661.626,-207.692,0
0.0575556,105.064,3557.93,661.589,-207.675,0
0.0591111,105.062,3559.83,661.613,-207.619,0
0.0606667,105.107,3562.86,661.578,-207.524,0
0.0622222,105.115,3563.67,661.592,-207.446,0
0.0637778,105.109,3563.84,661.614,-207.403,0
0.0653333,105.17,3567.13,661.551,-207.31,0
0.0668889,105.151,3568.35,661.591,-207.278,0
0.0684444,104.588,3496.51,661.43,-210.489,0
0.07,105.589,3616.28,661.09,-206.201,0
0.0715556,123.026,5474.18,646.353,-147.535,0
0.0731111,138.039,7967.94,635.859,-81.1468,0
0.0746667,154.87,11201.5,616.775,-15.6029,0
0.0762222,158.799,12154.1,610.727,-14.9373,0
0.0777778,159.483,12358.2,609.703,-9.40945,0
0.0793333,159.274,12384.8,610.065,-7.92974,0
0.0808889,159.713,12525.4,609.334,-6.07744,0
0.0824444,160.015,12604.9,608.832,-5.88885,0
0.084,160.264,12719.9,608.436,-4.94599,0
0.0855556,160.163,12736.2,608.614,-4.34498,0
0.0871111,160.487,12831.1,608.621,-3.04214,0
0.0886667,160.63,12860.4,608.36,-2.82025,0
0.0902222,160.38,12845.4,608.282,-2.9476,0
0.0917778,160.437,12884.4,608.198,-2.36163,0
0.0933333,160.519,12906.5,608.066,-2.21455,0
0.0948889,160.58,12942.2,607.974,-1.9732,0
0.0964444,160.59,12956.1,607.964,-1.86343,0
0.098,160.636,12972.8,607.897,-1.75701,0
0.0995556,160.915,12996.6,607.695,-1.31544,0
0.101111,160.671,13003.4,607.853,-1.3757,0
0.102667,160.724,13020.7,607.77,-1.33699,0
0.104222,160.828,13057.8,607.606,-1.23975,0
0.105778,160.854,13072.4,607.566,-1.15403,0
0.107333,160.904,13088.8,607.487,-1.08453,0
0.108889,160.906,13096.4,607.487,-1.00842,0
0.110444,160.938,13112.4,607.435,-0.928974,0
0.112,160.956,13121,607.405,-0.920082,0
0.113556,160.981,13131.4,607.364,-0.921563,0
0.115111,161.018,13143.7,607.303,-0.909256,0
0.116667,161.038,13154.3,607.271,-0.847817,0
0.118222,161.066,13173.7,607.224,-0.5682,0
0.119778,161.135,13189.3,607.108,-0.354654,0
0.121333,161.083,13188.9,607.195,-0.0962916,0
0.122889,161.163,13202.4,607.06,0.117549,0
0.124444,161.386,13210.9,606.762,0.3779,0
0.126,161.18,13212.8,607.032,0.472072,0
0.127556,161.157,13214.4,607.069,0.594739,0
0.129111,161.202,13227.5,606.993,0.669115,0
0.130667,161.217,13233.8,606.966,0.66634,0
0.132222,161.235,13240.7,606.936,0.650524,0
0.133778,161.253,13248.2,606.904,0.624412,0
0.135333,161.507,13255.1,606.531,0.661,0
0.136889,161.525,13263.2,606.498,0.620154,0
0.138444,161.55,13272.3,606.451,0.593817,0
0.14,161.576,13281.6,606.405,0.576718,0
0.141556,161.369,13291.1,606.702,0.499469,0
0.143111,161.397,13300,606.654,0.522199,0
0.144667,161.407,13306.7,606.635,0.575042,0
0.146222,161.439,13315.8,606.58,0.636419,0
0.147778,161.434,13319.5,606.587,0.728081,0
0.149333,161.469,13327.7,606.526,0.843345,0
0.150889,161.436,13326.2,606.58,0.984999,0
0.152444,161.48,13333.5,606.504,1.11463,0
0.154,161.445,13331.9,606.56,1.25405,0
