distance,T,p,U_0,U_1,U_2
0.00155556,210.796,12509.4,462.776,0.287635,0
0.00311111,155.372,5501.49,569.391,-149.742,0
0.00466667,140.187,4563.64,597.284,-182.382,0
0.00622222,131.396,4134.5,617.325,-191.864,0
0.00777778,125.112,3909.78,630.025,-200.839,0
0.00933333,120.331,3758.79,640.403,-204.565,0
0.0108889,117.152,3677.47,646.813,-207.854,0
0.0124444,114.813,3616.41,651.61,-208.476,0
0.014,113.086,3590.39,655.153,-209.576,0
0.0155556,112.065,3579.42,657.078,-209.866,0
0.0171111,110.732,3566.06,659.036,-209.811,0
0.0186667,109.728,3559.12,660.143,-209.738,0
0.0202222,109.165,3556.84,660.746,-209.553,0
0.0217778,108.402,3555.55,661.272,-209.229,0
0.0233333,107.989,3556.12,661.434,-209.058,0
0.0248889,107.505,3557.46,661.572,-208.713,0
0.0264444,107.243,3558.83,661.6,-208.495,0
0.028,106.915,3561.32,661.601,-208.146,0
0.0295556,106.716,3562.17,661.665,-207.897,0
0.0311111,106.539,3565.16,661.738,-207.614,0
0.0326667,105.592,3410.75,661.231,-214.329,0
0.0342222,106.341,3584.83,661.649,-206.671,0
0.0357778,106.212,3587.65,661.654,-206.466,0
0.0373333,106.108,3590.47,661.608,-206.333,0
0.0388889,106.029,3594.02,661.55,-206.255,0
0.0404444,105.966,3599.33,661.446,-206.256,0
0.042,105.927,3606.9,661.305,-206.272,0
0.0435556,105.85,3610.46,661.275,-206.213,0
0.0451111,105.747,3610.26,661.297,-206.082,0
0.0466667,105.698,3608.27,661.295,-205.895,0
0.0482222,105.673,3607.16,661.263,-205.771,0
0.0497778,105.668,3609.53,661.223,-205.611,0
0.0513333,105.619,3611,661.263,-205.511,0
0.0528889,105.585,3613.01,661.298,-205.433,0
0.0544444,105.578,3615.14,661.324,-205.343,0
0.056,105.603,3618.49,661.327,-205.275,0
0.0575556,105.613,3619.45,661.337,-205.251,0
0.0591111,105.645,3622.17,661.343,-205.234,0
0.0606667,105.672,3623.67,661.418,-205.132,0
0.0622222,105.838,3626.8,661.518,-204.701,0
0.0637778,106.314,3650.61,661.185,-204.484,0
0.0653333,121.162,4486.7,652.392,-185.884,0
0.0668889,150.412,8113.7,622.768,-95.8051,0
0.0684444,153.432,11493,616.939,-8.71619,0
0.07,155.113,11869,615.225,-18.7212,0
0.0715556,157.363,12407.3,611.73,-10.8966,0
0.0731111,158.632,12554.1,609.97,-8.38677,0
0.0746667,158.56,12522.7,610.428,-4.39063,0
0.0762222,158.334,12492.8,610.986,-3.02978,0
0.0777778,159.121,12599.3,610.118,-2.77509,0
0.0793333,159.523,12675.6,609.588,-3.10082,0
0.0808889,160.064,12816,608.752,-3.83308,0
0.0824444,160.18,12849.2,608.506,-3.64977,0
0.084,160.434,12896,608.245,-2.9059,0
0.0855556,160.614,12932.4,607.949,-2.83076,0
0.0871111,160.762,13001,607.493,-2.27668,0
0.0886667,160.904,13032.3,607.277,-2.27776,0
0.0902222,161.029,13052.9,607.172,-2.46781,0
0.0917778,161.096,13063.2,607.061,-1.74713,0
0.0933333,160.995,13052.9,607.232,-1.35012,0
0.0948889,161.089,13074.7,607.072,-0.709904,0
0.0964444,161.189,13091.1,606.924,-0.61348,0
0.098,161.214,13099.3,606.881,-0.504933,0
0.0995556,161.329,13118.5,606.615,-0.457324,0
0.101111,161.325,13127.8,606.69,-0.515388,0
0.102667,161.349,13135,606.645,-0.558097,0
0.104222,161.396,13148.1,606.555,-0.585585,0
0.105778,161.411,13153.4,606.526,-0.555915,0
0.107333,161.434,13159.8,606.478,-0.518092,0
0.108889,161.439,13164.1,606.466,-0.452043,0
0.110444,161.463,13171.7,606.417,-0.355312,0
0.112,161.48,13175,606.386,-0.328036,0
0.113556,161.479,13176.1,606.386,-0.29163,0
0.115111,161.495,13179,606.357,-0.238762,0
0.116667,161.48,13178.3,606.382,-0.15245,0
0.118222,161.511,13188.4,606.329,0.101956,0
0.119778,161.598,13203.9,606.186,0.268566,0
0.121333,161.602,13214,606.18,0.50142,0
0.122889,161.736,13241,605.964,0.691194,0
0.124444,161.965,13264.3,605.571,1.10596,0
0.126,161.866,13280.7,605.756,1.06832,0
0.127556,161.892,13290.9,605.707,1.2329,0
0.129111,161.956,13310.9,605.58,1.24823,0
0.130667,161.967,13315.6,605.558,1.21701,0
0.132222,161.985,13320.8,605.521,1.18329,0
0.133778,161.991,13324.6,605.508,1.13357,0
0.135333,162.251,13328.7,605.099,1.1265,0
0.136889,162.272,13333.9,605.062,1.09969,0
0.138444,162.301,13340.1,605.019,1.08453,0
0.14,162.324,13345.5,604.974,1.08765,0
0.141556,162.076,13349.4,605.354,1.07794,0
0.143111,162.089,13354,605.324,1.1027,0
0.144667,162.097,13357.8,605.308,1.13541,0
0.146222,162.1,13360,605.289,1.16368,0
0.147778,162.097,13360.6,605.29,1.19334,0
0.149333,162.102,13361.3,605.277,1.22476,0
0.150889,162.087,13359.3,605.297,1.25128,0
0.152444,162.085,13358.3,605.293,1.28353,0
0.154,162.066,13355.2,605.318,1.30349,0
