x,T,p,rho,U_0,U_1,U_2
0.000625,293,1e+07,1002.15,-9.20603e-11,0,0
0.001875,293,1e+07,1002.15,-3.91767e-11,0,0
0.003125,293,1e+07,1002.15,3.36226e-11,0,0
0.004375,293,1e+07,1002.15,2.05022e-11,0,0
0.005625,293,1e+07,1002.15,-2.97778e-11,0,0
0.006875,293,1e+07,1002.15,-6.73664e-12,0,0
0.008125,293,1e+07,1002.15,2.41618e-11,0,0
0.009375,293,1e+07,1002.15,1.62389e-11,0,0
0.010625,293,1e+07,1002.15,9.60674e-12,0,0
0.011875,293,1e+07,1002.15,-8.4439e-12,0,0
0.013125,293,1e+07,1002.15,3.16513e-12,0,0
0.014375,293,1e+07,1002.15,-5.10788e-12,0,0
0.015625,293,1e+07,1002.15,-3.02413e-11,0,0
0.016875,293,1e+07,1002.15,1.09624e-11,0,0
0.018125,293,1e+07,1002.15,-1.48212e-11,0,0
0.019375,293,1e+07,1002.15,9.19906e-12,0,0
0.020625,293,1e+07,1002.15,2.4836e-11,0,0
0.021875,293,1e+07,1002.15,-4.65418e-12,0,0
0.023125,293,1e+07,1002.15,-1.00127e-11,0,0
0.024375,293,1e+07,1002.15,1.4551e-11,0,0
0.025625,293,1e+07,1002.15,4.4094e-11,0,0
0.026875,293,1e+07,1002.15,-5.31448e-12,0,0
0.028125,293,1e+07,1002.15,-3.38933e-12,0,0
0.029375,293,1e+07,1002.15,3.35873e-13,0,0
0.030625,293,1e+07,1002.15,1.89824e-11,0,0
0.031875,293,1e+07,1002.15,1.80048e-11,0,0
0.033125,293,1e+07,1002.15,-4.31284e-11,0,0
0.034375,293,1e+07,1002.15,-9.9545e-12,0,0
0.035625,293,1e+07,1002.15,4.55588e-11,0,0
0.036875,293,1e+07,1002.15,7.24085e-12,0,0
0.038125,293,1e+07,1002.15,-2.02673e-11,0,0
0.039375,293,1e+07,1002.15,4.89821e-11,0,0
0.040625,293,1e+07,1002.15,5.50331e-11,0,0
0.041875,293,1e+07,1002.15,-2.81002e-11,0,0
0.043125,293,1e+07,1002.15,-1.87082e-11,0,0
0.044375,293,1e+07,1002.15,5.58241e-11,0,0
0.045625,293,1e+07,1002.15,5.77114e-11,0,0
0.046875,293,1e+07,1002.15,-9.12523e-12,0,0
0.048125,293,1e+07,1002.15,-4.42e-12,0,0
0.049375,293,1e+07,1002.15,2.79279e-11,0,0
0.050625,293,1e+07,1002.15,3.86703e-11,0,0
0.051875,293,1e+07,1002.15,1.83235e-11,0,0
0.053125,293,1e+07,1002.15,1.77672e-12,0,0
0.054375,293,1e+07,1002.15,-3.69315e-12,0,0
0.055625,293,1e+07,1002.15,1.71365e-11,0,0
0.056875,293,1e+07,1002.15,-2.51497e-12,0,0
0.058125,293,1e+07,1002.15,1.28097e-11,0,0
0.059375,293,1e+07,1002.15,4.30358e-11,0,0
0.060625,293,1e+07,1002.15,-3.10543e-11,0,0
0.061875,293,1e+07,1002.15,-1.48723e-11,0,0
0.063125,293,1e+07,1002.15,1.87165e-11,0,0
0.064375,293,1e+07,1002.15,8.94119e-12,0,0
0.065625,293,1e+07,1002.15,-6.03439e-12,0,0
0.066875,293,1e+07,1002.15,8.91619e-12,0,0
0.068125,293,1e+07,1002.15,3.04239e-11,0,0
0.069375,293,1e+07,1002.15,-1.1732e-11,0,0
0.070625,293,1e+07,1002.15,-1.92865e-12,0,0
0.071875,293,1e+07,1002.15,1.58228e-11,0,0
0.073125,293,1e+07,1002.15,3.3879e-11,0,0
0.074375,293,1e+07,1002.15,2.06171e-11,0,0
0.075625,293,1e+07,1002.15,-7.32693e-12,0,0
0.076875,293,1e+07,1002.15,-9.32072e-12,0,0
0.078125,293,1e+07,1002.15,-1.30678e-12,0,0
0.079375,293,1e+07,1002.15,1.59534e-11,0,0
0.080625,293,1e+07,1002.15,1.83545e-11,0,0
0.081875,293,1e+07,1002.15,2.63616e-11,0,0
0.083125,293,1e+07,1002.15,-1.50256e-11,0,0
0.084375,293,1e+07,1002.15,-1.52752e-11,0,0
0.085625,293,1e+07,1002.15,3.62339e-11,0,0
0.086875,293,1e+07,1002.15,1.86013e-11,0,0
0.088125,293,1e+07,1002.15,-1.00064e-11,0,0
0.089375,293,1e+07,1002.15,-7.95314e-12,0,0
0.090625,293,1e+07,1002.15,-2.22013e-12,0,0
0.091875,293,1e+07,1002.15,1.15678e-11,0,0
0.093125,293,1e+07,1002.15,-1.80476e-11,0,0
0.094375,293,1e+07,1002.15,-4.43889e-11,0,0
0.095625,293,1e+07,1002.15,1.942e-11,0,0
0.096875,293,1e+07,1002.15,1.81258e-11,0,0
0.098125,293,1e+07,1002.15,-3.64781e-11,0,0
0.099375,293,1e+07,1002.15,-1.34361e-11,0,0
0.100625,293,1e+07,1002.15,2.72347e-12,0,0
0.101875,293,1e+07,1002.15,1.95431e-12,0,0
0.103125,293,1e+07,1002.15,-1.71896e-12,0,0
0.104375,293,1e+07,1002.15,-1.86629e-11,0,0
0.105625,293,1e+07,1002.15,2.00841e-13,0,0
0.106875,293,1e+07,1002.15,5.98021e-12,0,0
0.108125,293,1e+07,1002.15,-2.10587e-12,0,0
0.109375,293,1e+07,1002.15,1.71569e-11,0,0
0.110625,293,1e+07,1002.15,-5.59306e-12,0,0
0.111875,293,1e+07,1002.15,-1.62734e-12,0,0
0.113125,293,1e+07,1002.15,2.32364e-11,0,0
0.114375,293,1e+07,1002.15,2.95393e-11,0,0
0.115625,293,1e+07,1002.15,1.1606e-10,0,0
0.116875,293,1e+07,1002.15,1.59184e-10,0,0
0.118125,293,1e+07,1002.15,1.44901e-10,0,0
0.119375,293,1e+07,1002.15,2.61833e-10,0,0
0.120625,293,1e+07,1002.15,4.50198e-10,0,0
0.121875,293,1e+07,1002.15,7.10389e-10,0,0
0.123125,293,1e+07,1002.15,1.23244e-09,0,0
0.124375,293,1e+07,1002.15,1.95818e-09,0,0
0.125625,293,1e+07,1002.15,3.46456e-09,0,0
0.126875,293,1e+07,1002.15,5.56483e-09,0,0
0.128125,293,1e+07,1002.15,8.9912e-09,0,0
0.129375,293,1e+07,1002.15,1.47103e-08,0,0
0.130625,293,1e+07,1002.15,2.35049e-08,0,0
0.131875,293,1e+07,1002.15,3.76633e-08,0,0
0.133125,293,1e+07,1002.15,5.93647e-08,0,0
0.134375,293,1e+07,1002.15,9.3708e-08,0,0
0.135625,293,1e+07,1002.15,1.46685e-07,0,0
0.136875,293,1e+07,1002.15,2.29287e-07,0,0
0.138125,293,1e+07,1002.15,3.5553e-07,0,0
0.139375,293,1e+07,1002.15,5.50005e-07,0,0
0.140625,293,1e+07,1002.15,8.46785e-07,0,0
0.141875,293,1e+07,1002.15,1.2958e-06,0,0
0.143125,293,1e+07,1002.15,1.97675e-06,0,0
0.144375,293,1e+07,1002.15,2.99676e-06,0,0
0.145625,293,9.99999e+06,1002.15,4.52723e-06,0,0
0.146875,293,9.99999e+06,1002.15,6.79711e-06,0,0
0.148125,293,9.99998e+06,1002.15,1.01661e-05,0,0
0.149375,293,9.99998e+06,1002.15,1.51063e-05,0,0
0.150625,293,9.99997e+06,1002.15,2.23623e-05,0,0
0.151875,293,9.99995e+06,1002.15,3.29487e-05,0,0
0.153125,293,9.99993e+06,1002.15,4.8238e-05,0,0
0.154375,293,9.9999e+06,1002.15,7.02355e-05,0,0
0.155625,293,9.99985e+06,1002.15,0.000101859,0,0
0.156875,293,9.99978e+06,1002.15,0.000146917,0,0
0.158125,293,9.99969e+06,1002.15,0.000210527,0,0
0.159375,293,9.99955e+06,1002.15,0.00030044,0,0
0.160625,293,9.99937e+06,1002.15,0.000425859,0,0
0.161875,293,9.99911e+06,1002.15,0.000600988,0,0
0.163125,293,9.99875e+06,1002.15,0.00084239,0,0
0.164375,293,9.99825e+06,1002.15,0.0011754,0,0
0.165625,292.999,9.99758e+06,1002.15,0.0016287,0,0
0.166875,292.999,9.99666e+06,1002.15,0.00224604,0,0
0.168125,292.999,9.99543e+06,1002.15,0.00307452,0,0
0.169375,292.998,9.99378e+06,1002.15,0.00418921,0,0
0.170625,292.998,9.99157e+06,1002.15,0.00567374,0,0
