distance,T,p,U_0,U_1,U_2
0.00155556,250.946,13267.2,434.632,-1.48692,0
0.00311111,173.477,5608.54,567.338,-153.308,0
0.00466667,146.922,4441.5,605.093,-179.839,0
0.00622222,134.776,4091.47,618.923,-197.137,0
0.00777778,126.39,3870.19,630.664,-201.232,0
0.00933333,119.589,3699.65,640.173,-204.349,0
0.0108889,114.309,3602.67,647.56,-206.102,0
0.0124444,110.746,3556.71,652.184,-208.245,0
0.014,108.792,3530.91,655.122,-208.876,0
0.0155556,108.248,3548.11,655.955,-209.075,0
0.0171111,107.248,3535.82,657.604,-208.986,0
0.0186667,105.877,3513.07,659.688,-209.435,0
0.0202222,105.208,3508.7,660.706,-209.816,0
0.0217778,104.925,3513.25,661.157,-209.98,0
0.0233333,105.033,3514.51,661.044,-209.686,0
0.0248889,105.123,3518.52,660.999,-209.293,0
0.0264444,105.045,3519.88,661.153,-209.181,0
0.028,104.88,3520.69,661.388,-209.146,0
0.0295556,104.94,3526.11,661.312,-209.023,0
0.0311111,104.966,3529.89,661.312,-208.86,0
0.0326667,103.517,3363.77,661.26,-215.877,0
0.0342222,104.943,3534.38,661.472,-208.508,0
0.0357778,105.04,3541.86,661.358,-208.343,0
0.0373333,105.013,3544.1,661.435,-208.28,0
0.0388889,104.987,3544.29,661.474,-208.252,0
0.0404444,105.042,3549.15,661.454,-208.084,0
0.042,105.091,3555.26,661.447,-207.911,0
0.0435556,105.027,3555.72,661.579,-207.834,0
0.0451111,105.059,3558.26,661.573,-207.686,0
0.0466667,105.101,3561.43,661.539,-207.582,0
0.0482222,105.131,3564.83,661.522,-207.463,0
0.0497778,105.111,3564.19,661.568,-207.426,0
0.0513333,105.138,3566.25,661.562,-207.336,0
0.0528889,105.167,3569.28,661.544,-207.275,0
0.0544444,105.158,3568.88,661.577,-207.241,0
0.056,105.148,3567.96,661.592,-207.223,0
0.0575556,105.176,3569.72,661.552,-207.21,0
0.0591111,105.169,3571.75,661.607,-207.112,0
0.0606667,105.186,3573.31,661.598,-207.053,0
0.0622222,105.223,3575.23,661.568,-206.983,0
0.0637778,105.213,3575.09,661.599,-206.947,0
0.0653333,105.246,3576.45,661.572,-206.877,0
0.0668889,105.223,3575.14,661.596,-206.901,0
0.0684444,105.323,3566.21,660.846,-208.795,0
0.07,108.076,3816.69,659.395,-199.969,0
0.0715556,130.561,6618.98,645.158,-115.877,0
0.0731111,154.529,9951.52,613.973,-67.1587,0
0.0746667,158.957,12365.6,610.123,-18.0702,0
0.0762222,157.313,12303.9,612.999,-8.46493,0
0.0777778,158.136,12449.6,611.605,-6.317,0
0.0793333,158.291,12481,611.339,-6.6454,0
0.0808889,158.615,12570.9,610.859,-6.30769,0
0.0824444,158.75,12625.3,610.648,-5.8569,0
0.084,159.039,12726.7,610.192,-4.7254,0
0.0855556,159.284,12780,609.795,-4.28155,0
0.0871111,159.433,12852.4,609.655,-3.43028,0
0.0886667,159.441,12864.2,609.639,-3.1226,0
0.0902222,159.544,12872.7,609.385,-2.99717,0
0.0917778,159.662,12910.1,609.196,-2.70979,0
0.0933333,159.684,12924.3,609.161,-2.56128,0
0.0948889,159.765,12953.4,609.032,-2.26757,0
0.0964444,159.845,12972.1,608.902,-2.16188,0
0.098,159.857,12983.4,608.885,-2.01343,0
0.0995556,160.041,13019.8,608.636,-1.6366,0
0.101111,160.017,13029.8,608.632,-1.62732,0
0.102667,159.99,13032.8,608.68,-1.41259,0
0.104222,160.033,13048.2,608.612,-0.993383,0
0.105778,160.078,13056.5,608.538,-0.839199,0
0.107333,160.087,13059,608.524,-0.773557,0
0.108889,160.091,13061.6,608.518,-0.782616,0
0.110444,160.109,13069.7,608.488,-0.84933,0
0.112,160.13,13076.4,608.453,-0.874099,0
0.113556,160.16,13085.4,608.402,-0.875367,0
0.115111,160.194,13096.5,608.346,-0.845489,0
0.116667,160.252,13111.7,608.249,-0.788688,0
0.118222,160.378,13149.7,608.041,-0.58967,0
0.119778,160.412,13166.1,607.988,-0.432503,0
0.121333,160.499,13187.8,607.844,-0.346231,0
0.122889,160.526,13201.4,607.802,-0.205384,0
0.124444,160.76,13222.5,607.435,-0.0330167,0
0.126,160.608,13227.5,607.669,-0.0175456,0
0.127556,160.663,13240.1,607.58,0.0510841,0
0.129111,160.711,13256.1,607.503,0.235101,0
0.130667,160.703,13258.8,607.517,0.338941,0
0.132222,160.74,13266,607.455,0.442798,0
0.133778,160.718,13265.8,607.493,0.565023,0
0.135333,160.941,13276.6,607.133,0.698248,0
0.136889,160.914,13274.8,607.178,0.819989,0
0.138444,160.955,13281.4,607.109,0.914149,0
0.14,160.942,13280.2,607.13,0.992534,0
0.141556,160.768,13279.4,607.409,1.04781,0
0.143111,160.78,13282.1,607.389,1.06294,0
0.144667,160.784,13283.9,607.384,1.05497,0
0.146222,160.794,13287,607.368,1.03377,0
0.147778,160.804,13291,607.352,0.99938,0
0.149333,160.827,13296.9,607.314,0.955127,0
0.150889,160.842,13303.1,607.289,0.9016,0
0.152444,160.872,13311.5,607.24,0.859778,0
0.154,160.9,13320.5,607.194,0.815955,0
