distance,T,p,U_0,U_1,U_2
0.00155556,210.497,12514,463.029,0.30772,0
0.00311111,155.585,5511.37,568.619,-149.631,0
0.00466667,140.562,4572.93,596.669,-181.821,0
0.00622222,131.26,4134.04,617.377,-192.153,0
0.00777778,124.876,3905.2,630.241,-201.321,0
0.00933333,120.324,3755.24,640.265,-204.774,0
0.0108889,117.18,3671.37,646.606,-207.857,0
0.0124444,114.839,3615.68,651.811,-208.504,0
0.014,113.017,3589.49,655.387,-209.778,0
0.0155556,111.987,3576.63,657.189,-210.052,0
0.0171111,110.718,3562.97,659.046,-209.923,0
0.0186667,109.713,3556.73,660.22,-209.957,0
0.0202222,109.136,3553.64,660.78,-209.766,0
0.0217778,108.397,3553.45,661.373,-209.38,0
0.0233333,107.993,3554.63,661.489,-209.154,0
0.0248889,107.547,3557.69,661.499,-208.801,0
0.0264444,107.288,3560.37,661.541,-208.564,0
0.028,106.924,3564.98,661.655,-208.127,0
0.0295556,106.773,3574.43,661.586,-207.823,0
0.0311111,106.59,3580.22,661.708,-207.333,0
0.0326667,105.465,3404.61,661.415,-214.459,0
0.0342222,106.279,3586.89,661.721,-206.611,0
0.0357778,106.175,3589.88,661.641,-206.485,0
0.0373333,106.096,3591.97,661.583,-206.322,0
0.0388889,106.038,3595.41,661.556,-206.21,0
0.0404444,105.981,3600.97,661.478,-206.203,0
0.042,105.925,3606.81,661.352,-206.252,0
0.0435556,105.869,3610.61,661.259,-206.201,0
0.0451111,105.806,3612.55,661.255,-206.024,0
0.0466667,105.715,3611.07,661.307,-205.838,0
0.0482222,105.62,3609.36,661.335,-205.75,0
0.0497778,105.585,3609.71,661.295,-205.657,0
0.0513333,105.585,3611.08,661.264,-205.558,0
0.0528889,105.59,3613.77,661.272,-205.438,0
0.0544444,105.598,3615.15,661.299,-205.34,0
0.056,105.623,3617.56,661.308,-205.293,0
0.0575556,105.635,3618.76,661.323,-205.27,0
0.0591111,105.688,3622.29,661.309,-205.236,0
0.0606667,105.772,3626.15,661.299,-205.134,0
0.0622222,106.104,3638.77,661.266,-204.811,0
0.0637778,107.227,3710.7,660.545,-203.522,0
0.0653333,128.453,5244.53,650.213,-162.298,0
0.0668889,145.791,8904.53,634.007,-61.6772,0
0.0684444,156.578,12155.7,612.366,-12.1563,0
0.07,158.673,12420.2,609.835,-17.1056,0
0.0715556,158.724,12566.4,609.639,-8.93189,0
0.0731111,158.117,12513.1,610.846,-6.42135,0
0.0746667,158.538,12515.7,610.644,-3.41971,0
0.0762222,158.919,12541.7,610.356,-2.69742,0
0.0777778,159.821,12679,609.355,-2.97393,0
0.0793333,160.214,12779.1,608.811,-3.64949,0
0.0808889,160.669,12905.1,607.916,-4.01505,0
0.0824444,160.715,12913.4,607.809,-3.52309,0
0.084,160.799,12920.9,607.782,-2.35482,0
0.0855556,160.892,12944,607.653,-2.00814,0
0.0871111,161.096,13012.1,607.229,-1.65764,0
0.0886667,161.235,13043.2,606.997,-1.60066,0
0.0902222,161.303,13053.5,606.957,-1.63347,0
0.0917778,161.289,13063.5,606.931,-0.947074,0
0.0933333,161.411,13080.5,606.706,-0.624159,0
0.0948889,161.441,13090.1,606.65,-0.168512,0
0.0964444,161.47,13101.8,606.579,-0.0567026,0
0.098,161.523,13117.4,606.477,-0.0383388,0
0.0995556,161.695,13142.8,606.196,0.0370367,0
0.101111,161.625,13156.5,606.239,-0.0668573,0
0.102667,161.658,13169.9,606.161,-0.0744421,0
0.104222,161.71,13192.7,606.03,-0.0508275,0
0.105778,161.725,13199,605.993,-0.0521355,0
0.107333,161.735,13204.9,605.954,-0.0577276,0
0.108889,161.737,13208.1,605.933,-0.0829354,0
0.110444,161.744,13211.7,605.904,-0.120084,0
0.112,161.748,13213.9,605.886,-0.110597,0
0.113556,161.752,13216.7,605.871,-0.0826787,0
0.115111,161.779,13222.7,605.818,-0.0299735,0
0.116667,161.783,13228.8,605.806,0.075576,0
0.118222,161.839,13250.5,605.7,0.428134,0
0.119778,161.945,13272.5,605.517,0.650708,0
0.121333,161.917,13278.6,605.557,0.918019,0
0.122889,162.002,13295.6,605.407,1.08018,0
0.124444,162.273,13303.5,605.041,1.28225,0
0.126,162.017,13306,605.369,1.29376,0
0.127556,162.018,13309.8,605.355,1.35129,0
0.129111,162.047,13320.4,605.29,1.36404,0
0.130667,162.059,13325.5,605.257,1.36157,0
0.132222,162.075,13331.3,605.22,1.35872,0
0.133778,162.095,13337.9,605.177,1.35668,0
0.135333,162.451,13345.4,604.683,1.40515,0
0.136889,162.484,13353.9,604.618,1.41326,0
0.138444,162.517,13362.8,604.551,1.42532,0
0.14,162.549,13372.2,604.483,1.43957,0
0.141556,162.22,13379.2,604.903,1.40084,0
0.143111,162.24,13386.9,604.856,1.42129,0
0.144667,162.253,13392.1,604.816,1.44063,0
0.146222,162.262,13396.4,604.794,1.46566,0
0.147778,162.266,13399.1,604.771,1.4801,0
0.149333,162.263,13399.8,604.769,1.50243,0
0.150889,162.266,13400.5,604.755,1.52399,0
0.152444,162.254,13399.3,604.766,1.5459,0
0.154,162.253,13398.6,604.757,1.5719,0
