distance,T,p,U_0,U_1,U_2
0.00155556,266.403,13212.2,424.372,-1.13642,0
0.00311111,179.128,5296.5,571.714,-164.971,0
0.00466667,144.539,4100.25,611.912,-189.984,0
0.00622222,131.072,3850.22,623.866,-204.889,0
0.00777778,120.987,3620.15,635.98,-206.207,0
0.00933333,113.765,3522.66,644.353,-209.66,0
0.0108889,108.633,3468.2,651.484,-210.425,0
0.0124444,105.505,3441.85,656.168,-212.115,0
0.014,104.279,3429.96,659.12,-212.477,0
0.0155556,104.302,3430.14,659.923,-212.711,0
0.0171111,104.738,3469.83,659.963,-212.078,0
0.0186667,104.19,3466.58,661.318,-211.798,0
0.0202222,103.922,3481.88,661.892,-211.681,0
0.0217778,104.043,3492.75,662.042,-210.973,0
0.0233333,104.24,3493,661.814,-210.822,0
0.0248889,104.474,3485.92,661.532,-210.637,0
0.0264444,104.628,3492.39,661.339,-210.455,0
0.028,104.687,3509.89,661.341,-210.137,0
0.0295556,104.622,3512.36,661.523,-209.878,0
0.0311111,104.616,3515.65,661.609,-209.639,0
0.0326667,103.013,3328.81,661.538,-217.391,0
0.0342222,104.797,3521.71,661.423,-209.344,0
0.0357778,104.868,3527.01,661.378,-209.153,0
0.0373333,104.848,3530.34,661.484,-208.925,0
0.0388889,104.791,3531.47,661.622,-208.771,0
0.0404444,104.842,3536.96,661.585,-208.648,0
0.042,104.891,3539.89,661.555,-208.515,0
0.0435556,104.934,3541.79,661.534,-208.384,0
0.0451111,104.941,3543.32,661.555,-208.297,0
0.0466667,104.976,3546.97,661.541,-208.196,0
0.0482222,104.952,3547.38,661.6,-208.14,0
0.0497778,104.966,3548.77,661.621,-208.018,0
0.0513333,105.012,3551.51,661.579,-207.934,0
0.0528889,105.038,3555.01,661.555,-207.893,0
0.0544444,105.005,3554.15,661.633,-207.815,0
0.056,105.037,3556.14,661.624,-207.699,0
0.0575556,105.065,3557.83,661.587,-207.679,0
0.0591111,105.063,3559.74,661.614,-207.619,0
0.0606667,105.108,3562.94,661.577,-207.521,0
0.0622222,105.116,3563.82,661.592,-207.438,0
0.0637778,105.112,3564.01,661.613,-207.393,0
0.0653333,105.173,3567.26,661.549,-207.305,0
0.0668889,105.158,3568.48,661.58,-207.285,0
0.0684444,104.588,3496.61,661.429,-210.496,0
0.07,105.588,3615.88,661.093,-206.206,0
0.0715556,123.017,5472.61,646.367,-147.572,0
0.0731111,138.034,7967.03,635.863,-81.1904,0
0.0746667,154.867,11201.8,616.771,-15.6099,0
0.0762222,158.798,12154.6,610.729,-14.9422,0
0.0777778,159.48,12360.5,609.712,-9.39051,0
0.0793333,159.272,12385.1,610.071,-7.93589,0
0.0808889,159.712,12525.6,609.335,-6.07255,0
0.0824444,160.014,12605,608.833,-5.88244,0
0.084,160.263,12719.9,608.436,-4.94488,0
0.0855556,160.164,12736.5,608.611,-4.34647,0
0.0871111,160.49,12831.4,608.614,-3.04434,0
0.0886667,160.631,12860.5,608.354,-2.81897,0
0.0902222,160.377,12845.2,608.284,-2.94052,0
0.0917778,160.436,12884.1,608.198,-2.35451,0
0.0933333,160.518,12906.3,608.066,-2.21007,0
0.0948889,160.58,12942.3,607.972,-1.97235,0
0.0964444,160.591,12956.2,607.962,-1.86455,0
0.098,160.636,12972.8,607.895,-1.75922,0
0.0995556,160.917,12996.6,607.691,-1.3203,0
0.101111,160.671,13003.3,607.852,-1.37982,0
0.102667,160.724,13020.5,607.769,-1.34081,0
0.104222,160.829,13057.6,607.606,-1.24102,0
0.105778,160.855,13072.3,607.566,-1.15415,0
0.107333,160.905,13088.7,607.486,-1.0848,0
0.108889,160.907,13096.3,607.486,-1.00874,0
0.110444,160.94,13112.4,607.434,-0.93009,0
0.112,160.958,13120.9,607.404,-0.920237,0
0.113556,160.983,13131.3,607.363,-0.92176,0
0.115111,161.021,13143.6,607.301,-0.909232,0
0.116667,161.04,13154.1,607.269,-0.847726,0
0.118222,161.069,13173.5,607.221,-0.568462,0
0.119778,161.138,13189,607.105,-0.35513,0
0.121333,161.086,13188.7,607.193,-0.0974626,0
0.122889,161.166,13202.2,607.058,0.11634,0
0.124444,161.389,13210.8,606.759,0.377027,0
0.126,161.182,13212.7,607.03,0.470362,0
0.127556,161.159,13214.4,607.067,0.593441,0
0.129111,161.204,13227.6,606.991,0.667478,0
0.130667,161.219,13233.9,606.963,0.66502,0
0.132222,161.237,13240.8,606.933,0.649385,0
0.133778,161.255,13248.3,606.901,0.623352,0
0.135333,161.51,13255.2,606.527,0.65995,0
0.136889,161.528,13263.3,606.494,0.619178,0
0.138444,161.554,13272.4,606.447,0.593007,0
0.14,161.579,13281.7,606.401,0.576134,0
0.141556,161.372,13291.1,606.7,0.49923,0
0.143111,161.399,13300,606.652,0.522368,0
0.144667,161.409,13306.6,606.633,0.575279,0
0.146222,161.44,13315.7,606.579,0.636795,0
0.147778,161.435,13319.4,606.586,0.729691,0
0.149333,161.472,13327.7,606.523,0.846131,0
0.150889,161.438,13326.1,606.578,0.987326,0
0.152444,161.482,13333.5,606.502,1.11578,0
0.154,161.448,13331.8,606.557,1.25533,0
