distance,T,p,U_0,U_1,U_2
0.00155556,266.403,13212.2,424.372,-1.13642,0
0.00311111,179.13,5296.65,571.713,-164.963,0
0.00466667,144.537,4100.19,611.918,-189.975,0
0.00622222,131.075,3850.41,623.866,-204.885,0
0.00777778,120.991,3620.29,635.982,-206.201,0
0.00933333,113.768,3522.75,644.355,-209.655,0
0.0108889,108.636,3468.27,651.487,-210.423,0
0.0124444,105.509,3441.37,656.176,-212.115,0
0.014,104.267,3427.35,659.133,-212.486,0
0.0155556,104.307,3429.07,659.903,-212.775,0
0.0171111,104.748,3470.16,659.944,-212.086,0
0.0186667,104.202,3466.6,661.285,-211.778,0
0.0202222,103.936,3481.49,661.885,-211.683,0
0.0217778,104.044,3492.61,662.05,-210.984,0
0.0233333,104.237,3492.87,661.822,-210.828,0
0.0248889,104.47,3485.7,661.532,-210.649,0
0.0264444,104.637,3492.59,661.325,-210.445,0
0.028,104.678,3509.63,661.356,-210.133,0
0.0295556,104.614,3512.21,661.536,-209.878,0
0.0311111,104.619,3515.92,661.606,-209.633,0
0.0326667,103.021,3329.43,661.532,-217.38,0
0.0342222,104.807,3522.3,661.417,-209.317,0
0.0357778,104.873,3527.58,661.379,-209.121,0
0.0373333,104.845,3530.17,661.492,-208.912,0
0.0388889,104.79,3531.37,661.622,-208.776,0
0.0404444,104.84,3536.89,661.586,-208.654,0
0.042,104.889,3539.81,661.559,-208.517,0
0.0435556,104.947,3542.29,661.521,-208.376,0
0.0451111,104.935,3542.81,661.558,-208.32,0
0.0466667,104.971,3546.38,661.539,-208.227,0
0.0482222,104.947,3546.94,661.6,-208.161,0
0.0497778,104.963,3548.66,661.623,-208.025,0
0.0513333,105.01,3551.4,661.581,-207.936,0
0.0528889,105.036,3554.76,661.557,-207.896,0
0.0544444,105.009,3554.33,661.628,-207.806,0
0.056,105.04,3556.46,661.622,-207.687,0
0.0575556,105.065,3558.15,661.59,-207.667,0
0.0591111,105.066,3560.18,661.612,-207.609,0
0.0606667,105.107,3563.18,661.579,-207.515,0
0.0622222,105.11,3563.74,661.598,-207.436,0
0.0637778,105.106,3563.92,661.618,-207.392,0
0.0653333,105.166,3567.18,661.545,-207.309,0
0.0668889,105.151,3568.47,661.584,-207.286,0
0.0684444,104.585,3496.57,661.43,-210.493,0
0.07,105.588,3616.19,661.092,-206.204,0
0.0715556,123.024,5473.7,646.357,-147.547,0
0.0731111,138.039,7967.61,635.858,-81.1578,0
0.0746667,154.873,11201.7,616.771,-15.6004,0
0.0762222,158.801,12154.1,610.726,-14.9363,0
0.0777778,159.485,12358.1,609.703,-9.40488,0
0.0793333,159.275,12384.6,610.065,-7.92382,0
0.0808889,159.716,12525.2,609.332,-6.07263,0
0.0824444,160.018,12604.8,608.831,-5.88622,0
0.084,160.265,12719.8,608.435,-4.94417,0
0.0855556,160.165,12736.1,608.613,-4.34327,0
0.0871111,160.489,12831.1,608.618,-3.04101,0
0.0886667,160.632,12860.5,608.358,-2.81954,0
0.0902222,160.381,12845.6,608.28,-2.94839,0
0.0917778,160.438,12884.5,608.196,-2.36194,0
0.0933333,160.521,12906.7,608.064,-2.21394,0
0.0948889,160.581,12942.2,607.973,-1.97202,0
0.0964444,160.591,12956.1,607.963,-1.86267,0
0.098,160.636,12972.8,607.896,-1.75706,0
0.0995556,160.917,12996.6,607.693,-1.31722,0
0.101111,160.671,13003.4,607.852,-1.37723,0
0.102667,160.724,13020.6,607.769,-1.33856,0
0.104222,160.828,13057.7,607.606,-1.24005,0
0.105778,160.855,13072.3,607.567,-1.15412,0
0.107333,160.905,13088.7,607.487,-1.08544,0
0.108889,160.906,13096.3,607.486,-1.00959,0
0.110444,160.939,13112.4,607.434,-0.929973,0
0.112,160.958,13121,607.403,-0.919466,0
0.113556,160.983,13131.4,607.362,-0.920679,0
0.115111,161.02,13143.6,607.3,-0.907968,0
0.116667,161.04,13154.2,607.268,-0.846441,0
0.118222,161.068,13173.5,607.221,-0.56787,0
0.119778,161.137,13189.1,607.105,-0.354838,0
0.121333,161.085,13188.8,607.193,-0.0975016,0
0.122889,161.165,13202.2,607.059,0.116004,0
0.124444,161.388,13210.8,606.761,0.376174,0
0.126,161.181,13212.7,607.031,0.469708,0
0.127556,161.159,13214.4,607.068,0.59272,0
0.129111,161.203,13227.5,606.992,0.667702,0
0.130667,161.219,13233.9,606.965,0.665163,0
0.132222,161.236,13240.8,606.935,0.649306,0
0.133778,161.254,13248.3,606.903,0.623146,0
0.135333,161.508,13255.2,606.53,0.659646,0
0.136889,161.526,13263.3,606.496,0.618869,0
0.138444,161.552,13272.4,606.449,0.592668,0
0.14,161.578,13281.7,606.403,0.575939,0
0.141556,161.371,13291.2,606.7,0.49933,0
0.143111,161.398,13300,606.652,0.522462,0
0.144667,161.409,13306.7,606.634,0.575626,0
0.146222,161.44,13315.8,606.579,0.637192,0
0.147778,161.435,13319.5,606.586,0.729015,0
0.149333,161.47,13327.7,606.524,0.844418,0
0.150889,161.437,13326.2,606.579,0.986397,0
0.152444,161.481,13333.5,606.503,1.11599,0
0.154,161.447,13331.8,606.558,1.25547,0
