distance,T,p,U_0,U_1,U_2
0.00155556,266.403,13212.2,424.372,-1.13641,0
0.00311111,179.132,5296.76,571.712,-164.957,0
0.00466667,144.535,4100.15,611.921,-189.968,0
0.00622222,131.077,3850.54,623.867,-204.883,0
0.00777778,120.993,3620.39,635.984,-206.197,0
0.00933333,113.769,3522.82,644.356,-209.652,0
0.0108889,108.638,3468.3,651.489,-210.421,0
0.0124444,105.507,3441.23,656.181,-212.116,0
0.014,104.264,3426.89,659.136,-212.494,0
0.0155556,104.307,3428.84,659.902,-212.788,0
0.0171111,104.756,3470.5,659.932,-212.091,0
0.0186667,104.205,3466.43,661.279,-211.778,0
0.0202222,103.938,3481.22,661.885,-211.692,0
0.0217778,104.042,3492.34,662.056,-210.996,0
0.0233333,104.234,3492.63,661.825,-210.841,0
0.0248889,104.474,3485.47,661.511,-210.676,0
0.0264444,104.593,3489.56,661.397,-210.464,0
0.028,104.666,3508.8,661.398,-210.065,0
0.0295556,104.543,3510.53,661.647,-209.854,0
0.0311111,104.618,3516.92,661.605,-209.627,0
0.0326667,103.018,3328.82,661.543,-217.363,0
0.0342222,104.804,3522.34,661.416,-209.334,0
0.0357778,104.883,3528.06,661.365,-209.129,0
0.0373333,104.847,3530.37,661.492,-208.904,0
0.0388889,104.785,3531.74,661.63,-208.784,0
0.0404444,104.834,3537.09,661.597,-208.662,0
0.042,104.887,3539.67,661.564,-208.516,0
0.0435556,104.93,3541.29,661.538,-208.395,0
0.0451111,104.942,3542.94,661.544,-208.328,0
0.0466667,104.974,3546.57,661.536,-208.223,0
0.0482222,104.947,3547.02,661.604,-208.152,0
0.0497778,104.966,3548.71,661.619,-208.021,0
0.0513333,105.014,3551.68,661.577,-207.932,0
0.0528889,105.036,3554.91,661.559,-207.891,0
0.0544444,105.008,3554.2,661.631,-207.806,0
0.056,105.037,3556.15,661.625,-207.692,0
0.0575556,105.061,3557.72,661.594,-207.676,0
0.0591111,105.066,3560.05,661.607,-207.623,0
0.0606667,105.107,3563.39,661.577,-207.525,0
0.0622222,105.109,3563.75,661.6,-207.437,0
0.0637778,105.103,3563.83,661.624,-207.39,0
0.0653333,105.166,3567.18,661.555,-207.303,0
0.0668889,105.152,3568.4,661.588,-207.278,0
0.0684444,104.585,3496.35,661.431,-210.495,0
0.07,105.591,3616.02,661.091,-206.192,0
0.0715556,123.03,5474.17,646.352,-147.526,0
0.0731111,138.043,7968.03,635.846,-81.1407,0
0.0746667,154.877,11202,616.759,-15.5962,0
0.0762222,158.804,12154.3,610.717,-14.9334,0
0.0777778,159.487,12358.1,609.695,-9.41441,0
0.0793333,159.278,12384.6,610.058,-7.93298,0
0.0808889,159.72,12525.3,609.324,-6.07622,0
0.0824444,160.021,12604.8,608.824,-5.89169,0
0.084,160.27,12720.2,608.428,-4.95256,0
0.0855556,160.17,12736.7,608.604,-4.35207,0
0.0871111,160.493,12831.5,608.613,-3.04854,0
0.0886667,160.634,12860.5,608.352,-2.81878,0
0.0902222,160.381,12845,608.28,-2.9384,0
0.0917778,160.441,12884.2,608.191,-2.35981,0
0.0933333,160.522,12906.6,608.06,-2.21758,0
0.0948889,160.583,12942.4,607.967,-1.97733,0
0.0964444,160.592,12956.1,607.959,-1.8648,0
0.098,160.638,12972.7,607.892,-1.75503,0
0.0995556,160.917,12996.4,607.691,-1.31187,0
0.101111,160.674,13003.4,607.847,-1.37307,0
0.102667,160.727,13020.8,607.764,-1.33722,0
0.104222,160.831,13058,607.6,-1.24068,0
0.105778,160.856,13072.4,607.562,-1.15431,0
0.107333,160.906,13088.5,607.483,-1.08464,0
0.108889,160.907,13096.1,607.484,-1.00856,0
0.110444,160.94,13112.2,607.431,-0.931374,0
0.112,160.958,13120.9,607.401,-0.922529,0
0.113556,160.984,13131.4,607.359,-0.924627,0
0.115111,161.021,13143.7,607.297,-0.910331,0
0.116667,161.04,13154.2,607.266,-0.847078,0
0.118222,161.069,13173.5,607.219,-0.564948,0
0.119778,161.138,13189.1,607.103,-0.350817,0
0.121333,161.086,13188.9,607.19,-0.0928444,0
0.122889,161.167,13202.4,607.056,0.120984,0
0.124444,161.389,13211.1,606.757,0.380998,0
0.126,161.183,13212.9,607.027,0.474657,0
0.127556,161.16,13214.4,607.065,0.596115,0
0.129111,161.204,13227.5,606.99,0.670493,0
0.130667,161.219,13233.8,606.963,0.667373,0
0.132222,161.236,13240.7,606.933,0.65137,0
0.133778,161.255,13248.2,606.901,0.62503,0
0.135333,161.509,13255.1,606.528,0.661407,0
0.136889,161.527,13263.2,606.494,0.620103,0
0.138444,161.553,13272.3,606.447,0.593844,0
0.14,161.578,13281.6,606.401,0.576746,0
0.141556,161.372,13291.1,606.697,0.499655,0
0.143111,161.399,13300,606.65,0.522365,0
0.144667,161.41,13306.7,606.63,0.575126,0
0.146222,161.441,13315.8,606.576,0.636379,0
0.147778,161.436,13319.5,606.583,0.727837,0
0.149333,161.472,13327.8,606.522,0.842761,0
0.150889,161.438,13326.3,606.576,0.984315,0
0.152444,161.482,13333.7,606.5,1.11393,0
0.154,161.448,13332,606.556,1.25344,0
