distance,T,p,U_0,U_1,U_2
0.00155556,266.419,13213.8,424.338,-1.13572,0
0.00311111,178.917,5280.82,571.861,-165.9,0
0.00466667,144.767,4105.2,611.387,-191.015,0
0.00622222,130.804,3829.87,623.77,-205.271,0
0.00777778,120.678,3606.64,635.653,-206.844,0
0.00933333,113.512,3516.59,644.02,-210.098,0
0.0108889,108.455,3467.63,651.031,-210.577,0
0.0124444,105.709,3493.71,655.358,-211.582,0
0.014,105.441,3497.55,658.086,-210.54,0
0.0155556,105.263,3492.76,659.234,-210.406,0
0.0171111,104.618,3479.53,660.734,-210.945,0
0.0186667,104.22,3496.99,661.647,-210.935,0
0.0202222,104.251,3502.58,661.798,-210.477,0
0.0217778,104.467,3509.92,661.616,-210.234,0
0.0233333,104.533,3509.34,661.553,-210.071,0
0.0248889,104.643,3513.13,661.503,-209.703,0
0.0264444,104.683,3518.66,661.514,-209.524,0
0.028,104.748,3526.44,661.532,-209.195,0
0.0295556,104.797,3531.44,661.523,-209.027,0
0.0311111,104.836,3535.26,661.511,-208.889,0
0.0326667,103.219,3348.24,661.508,-216.525,0
0.0342222,104.901,3539.17,661.555,-208.435,0
0.0357778,104.933,3543.58,661.535,-208.338,0
0.0373333,104.955,3546.44,661.54,-208.21,0
0.0388889,104.962,3547.77,661.557,-208.118,0
0.0404444,105.01,3550.81,661.524,-208,0
0.042,105.002,3552.23,661.556,-207.931,0
0.0435556,105.056,3556.72,661.503,-207.823,0
0.0451111,105.032,3557.61,661.554,-207.769,0
0.0466667,105.04,3558.29,661.587,-207.663,0
0.0482222,105.057,3558.97,661.581,-207.6,0
0.0497778,105.111,3561.51,661.518,-207.547,0
0.0513333,105.136,3564.65,661.514,-207.493,0
0.0528889,105.106,3564.27,661.591,-207.448,0
0.0544444,105.096,3564.84,661.642,-207.355,0
0.056,105.118,3567.12,661.62,-207.313,0
0.0575556,105.111,3567.76,661.628,-207.32,0
0.0591111,105.137,3568.45,661.607,-207.265,0
0.0606667,105.144,3568.53,661.612,-207.232,0
0.0622222,105.18,3569.84,661.576,-207.182,0
0.0637778,105.183,3570.19,661.584,-207.154,0
0.0653333,105.174,3571.26,661.616,-207.124,0
0.0668889,105.219,3573.65,661.567,-207.044,0
0.0684444,104.629,3505.82,661.511,-210.063,0
0.07,105.569,3614.91,661.17,-206.127,0
0.0715556,120.572,5348.71,650.702,-148.963,0
0.0731111,138.984,7875.58,632.152,-89.6773,0
0.0746667,157.339,11874.5,612.235,-25.485,0
0.0762222,156.18,11841.3,614.606,-13.3646,0
0.0777778,158.313,12294.4,611.273,-8.52667,0
0.0793333,159.141,12445.5,609.919,-7.30948,0
0.0808889,159.464,12543.4,609.456,-5.95867,0
0.0824444,159.548,12595.2,609.362,-5.51648,0
0.084,159.78,12687.3,609.065,-4.47381,0
0.0855556,159.977,12731.8,608.748,-4.18033,0
0.0871111,160.438,12834.3,608.77,-3.15632,0
0.0886667,160.483,12858.9,608.657,-2.9456,0
0.0902222,160.339,12862.4,608.226,-3.10016,0
0.0917778,160.424,12901.2,608.096,-2.74242,0
0.0933333,160.459,12921.7,608.041,-2.61515,0
0.0948889,160.534,12956.3,607.914,-2.42313,0
0.0964444,160.589,12973.3,607.819,-2.32241,0
0.098,160.612,12987.7,607.775,-2.19194,0
0.0995556,160.949,13025.2,607.562,-1.83287,0
0.101111,160.776,13041.8,607.487,-1.93324,0
0.102667,160.762,13047.9,607.515,-1.73774,0
0.104222,160.785,13063,607.488,-1.26477,0
0.105778,160.867,13076.6,607.357,-1.04268,0
0.107333,160.819,13076.3,607.445,-0.817401,0
0.108889,160.889,13087.9,607.336,-0.642844,0
0.110444,160.898,13096.4,607.336,-0.417008,0
0.112,160.896,13100.6,607.345,-0.3673,0
0.113556,160.912,13107.2,607.321,-0.345211,0
0.115111,160.933,13115,607.292,-0.334183,0
0.116667,160.958,13124.3,607.254,-0.334966,0
0.118222,161.033,13149.8,607.138,-0.335316,0
0.119778,161.078,13164.8,607.068,-0.311999,0
0.121333,161.129,13180.3,606.986,-0.268135,0
0.122889,161.15,13191.6,606.953,-0.184664,0
0.124444,161.439,13210.4,606.602,-0.00817136,0
0.126,161.234,13219.1,606.818,-0.0506352,0
0.127556,161.271,13233,606.757,0.0288997,0
0.129111,161.339,13256.3,606.648,0.156297,0
0.130667,161.379,13267,606.582,0.230777,0
0.132222,161.375,13271,606.588,0.342918,0
0.133778,161.413,13278.4,606.524,0.49159,0
0.135333,161.623,13283,606.267,0.701092,0
0.136889,161.678,13291.3,606.171,0.857993,0
0.138444,161.639,13289,606.234,1.03282,0
0.14,161.696,13298,606.136,1.16507,0
0.141556,161.428,13293.3,606.501,1.23804,0
0.143111,161.463,13300.8,606.446,1.28255,0
0.144667,161.487,13307.7,606.405,1.26656,0
0.146222,161.499,13312.8,606.39,1.22113,0
0.147778,161.528,13320,606.346,1.15406,0
0.149333,161.521,13322.6,606.362,1.06591,0
0.150889,161.555,13329.3,606.309,1.00387,0
0.152444,161.549,13331,606.322,0.943294,0
0.154,161.566,13334.1,606.294,0.918092,0
