distance,T,p,U_0,U_1,U_2
0.00155556,250.946,13267.2,434.632,-1.48692,0
0.00311111,173.477,5608.57,567.338,-153.307,0
0.00466667,146.922,4441.52,605.094,-179.836,0
0.00622222,134.776,4091.49,618.923,-197.135,0
0.00777778,126.39,3870.17,630.665,-201.231,0
0.00933333,119.588,3699.63,640.173,-204.349,0
0.0108889,114.308,3602.68,647.56,-206.101,0
0.0124444,110.746,3556.72,652.185,-208.244,0
0.014,108.789,3530.77,655.127,-208.874,0
0.0155556,108.247,3548.03,655.957,-209.078,0
0.0171111,107.25,3535.88,657.599,-208.989,0
0.0186667,105.881,3513.05,659.682,-209.436,0
0.0202222,105.208,3508.72,660.703,-209.821,0
0.0217778,104.921,3513.14,661.16,-209.981,0
0.0233333,105.031,3514.47,661.046,-209.689,0
0.0248889,105.122,3518.44,660.998,-209.296,0
0.0264444,105.046,3519.99,661.152,-209.181,0
0.028,104.879,3520.74,661.392,-209.154,0
0.0295556,104.939,3526.37,661.316,-209.038,0
0.0311111,104.978,3530.63,661.302,-208.883,0
0.0326667,103.503,3363.7,661.272,-215.905,0
0.0342222,104.938,3533.97,661.486,-208.484,0
0.0357778,105.001,3539.47,661.403,-208.403,0
0.0373333,105.049,3546.37,661.385,-208.273,0
0.0388889,104.98,3544.63,661.502,-208.233,0
0.0404444,105.006,3547.12,661.48,-208.131,0
0.042,105.112,3554.52,661.397,-207.904,0
0.0435556,105.029,3554.47,661.574,-207.845,0
0.0451111,105.046,3556.05,661.563,-207.836,0
0.0466667,105.056,3555.37,661.56,-207.776,0
0.0482222,105.112,3559.19,661.494,-207.654,0
0.0497778,105.092,3560.92,661.555,-207.553,0
0.0513333,105.122,3563.83,661.536,-207.495,0
0.0528889,105.142,3566.55,661.549,-207.398,0
0.0544444,105.121,3567.01,661.62,-207.314,0
0.056,105.148,3568.78,661.62,-207.191,0
0.0575556,105.182,3570.51,661.573,-207.177,0
0.0591111,105.182,3571.6,661.587,-207.124,0
0.0606667,105.186,3572.22,661.594,-207.082,0
0.0622222,105.215,3573.95,661.564,-207.023,0
0.0637778,105.203,3574.15,661.596,-206.987,0
0.0653333,105.231,3575.53,661.579,-206.925,0
0.0668889,105.211,3574.03,661.603,-206.936,0
0.0684444,105.313,3565.19,660.854,-208.819,0
0.07,108.067,3815.38,659.399,-200.001,0
0.0715556,130.56,6618.13,645.158,-115.871,0
0.0731111,154.535,9951.49,613.96,-67.1427,0
0.0746667,158.957,12365.4,610.117,-18.0595,0
0.0762222,157.312,12303.6,612.997,-8.46833,0
0.0777778,158.132,12449.3,611.61,-6.32022,0
0.0793333,158.287,12480.7,611.345,-6.64917,0
0.0808889,158.61,12570.9,610.864,-6.31043,0
0.0824444,158.746,12625.4,610.652,-5.85768,0
0.084,159.034,12726.7,610.196,-4.72326,0
0.0855556,159.279,12779.9,609.801,-4.27835,0
0.0871111,159.429,12852,609.664,-3.42798,0
0.0886667,159.437,12863.9,609.648,-3.11992,0
0.0902222,159.54,12872.4,609.393,-2.99644,0
0.0917778,159.661,12910,609.202,-2.71068,0
0.0933333,159.683,12924.2,609.168,-2.56255,0
0.0948889,159.763,12953.1,609.04,-2.26728,0
0.0964444,159.844,12971.8,608.908,-2.16191,0
0.098,159.858,12983.3,608.887,-2.0125,0
0.0995556,160.043,13019.9,608.634,-1.63685,0
0.101111,160.02,13029.9,608.627,-1.62686,0
0.102667,159.992,13032.9,608.675,-1.41246,0
0.104222,160.034,13048.2,608.609,-0.993782,0
0.105778,160.078,13056.3,608.537,-0.839082,0
0.107333,160.086,13059,608.525,-0.774955,0
0.108889,160.09,13061.6,608.52,-0.784369,0
0.110444,160.107,13069.8,608.492,-0.852036,0
0.112,160.127,13076.5,608.458,-0.877138,0
0.113556,160.158,13085.4,608.408,-0.87833,0
0.115111,160.192,13096.5,608.352,-0.848012,0
0.116667,160.25,13111.7,608.255,-0.790556,0
0.118222,160.378,13149.6,608.044,-0.589863,0
0.119778,160.411,13166,607.99,-0.431104,0
0.121333,160.5,13187.7,607.843,-0.344379,0
0.122889,160.526,13201.4,607.8,-0.201833,0
0.124444,160.761,13222.6,607.432,-0.0292757,0
0.126,160.61,13227.7,607.663,-0.0129603,0
0.127556,160.665,13240.4,607.573,0.0560143,0
0.129111,160.713,13256.3,607.496,0.239867,0
0.130667,160.705,13258.9,607.512,0.342645,0
0.132222,160.741,13266,607.452,0.446559,0
0.133778,160.719,13265.8,607.491,0.567995,0
0.135333,160.942,13276.5,607.132,0.701361,0
0.136889,160.915,13274.8,607.177,0.822329,0
0.138444,160.956,13281.4,607.109,0.917107,0
0.14,160.941,13280,607.133,0.993128,0
0.141556,160.768,13279.5,607.41,1.0473,0
0.143111,160.781,13282.2,607.39,1.06313,0
0.144667,160.784,13284,607.384,1.05543,0
0.146222,160.794,13287.1,607.367,1.03436,0
0.147778,160.804,13291.1,607.35,0.999734,0
0.149333,160.827,13297,607.313,0.955033,0
0.150889,160.842,13303.1,607.288,0.901095,0
0.152444,160.872,13311.5,607.238,0.858985,0
0.154,160.9,13320.5,607.192,0.815117,0
