x,T,U_0,rho,p,rho,U_0,U_1,U_2
0.000625,293,1.86E-13,1002.15,1.00E+07,1002.15,1.86E-13,0,0
0.001875,293,2.96E-12,1002.15,1.00E+07,1002.15,2.96E-12,0,0
0.003125,293,4.63E-12,1002.15,1.00E+07,1002.15,4.63E-12,0,0
0.004375,293,4.19E-12,1002.15,1.00E+07,1002.15,4.19E-12,0,0
0.005625,293,9.93E-13,1002.15,1.00E+07,1002.15,9.93E-13,0,0
0.006875,293,8.59E-13,1002.15,1.00E+07,1002.15,8.59E-13,0,0
0.008125,293,-3.64E-12,1002.15,1.00E+07,1002.15,-3.64E-12,0,0
0.009375,293,-7.03E-12,1002.15,1.00E+07,1002.15,-7.03E-12,0,0
0.010625,293,-4.33E-12,1002.15,1.00E+07,1002.15,-4.33E-12,0,0
0.011875,293,-6.07E-12,1002.15,1.00E+07,1002.15,-6.07E-12,0,0
0.013125,293,-6.60E-12,1002.15,1.00E+07,1002.15,-6.60E-12,0,0
0.014375,293,-1.10E-11,1002.15,1.00E+07,1002.15,-1.10E-11,0,0
0.015625,293,-1.25E-11,1002.15,1.00E+07,1002.15,-1.25E-11,0,0
0.016875,293,-1.57E-11,1002.15,1.00E+07,1002.15,-1.57E-11,0,0
0.018125,293,-1.70E-11,1002.15,1.00E+07,1002.15,-1.70E-11,0,0
0.019375,293,-2.03E-11,1002.15,1.00E+07,1002.15,-2.03E-11,0,0
0.020625,293,-1.95E-11,1002.15,1.00E+07,1002.15,-1.95E-11,0,0
0.021875,293,-2.18E-11,1002.15,1.00E+07,1002.15,-2.18E-11,0,0
0.023125,293,-2.26E-11,1002.15,1.00E+07,1002.15,-2.26E-11,0,0
0.024375,293,-2.66E-11,1002.15,1.00E+07,1002.15,-2.66E-11,0,0
0.025625,293,-2.32E-11,1002.15,1.00E+07,1002.15,-2.32E-11,0,0
0.026875,293,-2.55E-11,1002.15,1.00E+07,1002.15,-2.55E-11,0,0
0.028125,293,-2.46E-11,1002.15,1.00E+07,1002.15,-2.46E-11,0,0
0.029375,293,-2.31E-11,1002.15,1.00E+07,1002.15,-2.31E-11,0,0
0.030625,293,-1.72E-11,1002.15,1.00E+07,1002.15,-1.72E-11,0,0
0.031875,293,-1.62E-11,1002.15,1.00E+07,1002.15,-1.62E-11,0,0
0.033125,293,-1.47E-11,1002.15,1.00E+07,1002.15,-1.47E-11,0,0
0.034375,293,-8.30E-12,1002.15,1.00E+07,1002.15,-8.30E-12,0,0
