distance,T,p,U_0,U_1,U_2
0,352.471,3460.5,3.21198,-1.2418,0
0.00153939,352.86,3455.57,7.88581,-0.0928711,0
0.00307879,349.648,3445.99,-0.421853,1.66665,0
0.00461818,346.092,3402.13,-48.3007,5.63531,0
0.00615758,343.552,3309.86,-98.537,3.51742,0
0.00769697,340.511,3242.17,-131.791,2.17301,0
0.00923636,337.873,3215.25,-154.752,1.83801,0
0.0107758,335.527,3225.82,-171.798,1.68674,0
0.0123152,333.549,3276.91,-184.147,1.47945,0
0.0138545,332.635,3341.25,-189.144,1.34765,0
0.0153939,332.133,3495.81,-191.406,1.14566,0
0.0169333,332.734,3726.63,-186.636,0.627837,0
0.0184727,333.741,3926.66,-179.686,0.307317,0
0.0200121,336.022,4304.18,-163.216,-0.263471,0
0.0215515,337.929,4607.97,-148.586,-0.755262,0
0.0230909,340.924,5135.42,-122.606,-1.42635,0
0.0246303,342.847,5531.6,-102.802,-1.80732,0
0.0261697,344.51,5959.51,-82.1624,-2.09584,0
0.0277091,346.423,6655.58,-48.8944,-2.57935,0
0.0292485,347.189,7145.63,-25.9744,-2.81486,0
0.0307879,347.471,7645.03,-2.92622,-2.96352,0
0.0323273,347.252,8142.16,18.9994,-2.79764,0
0.0338667,346.014,8869.88,51.9073,-2.95102,0
0.0354061,344.678,9332.83,72.9283,-2.87878,0
0.0369455,343.056,9772.59,92.9034,-2.80497,0
0.0384848,341.193,10185.9,112.035,-2.74394,0
0.0400242,339.114,10568.7,130.33,-2.62926,0
0.0415636,336.88,10917.5,147.452,-2.60538,0
0.043103,334.511,11230.1,163.467,-2.44277,0
0.0446424,332.042,11509.3,178.531,-2.28439,0
0.0461818,329.481,11752.2,192.84,-2.15542,0
0.0477212,326.881,11955.1,206.347,-1.99838,0
0.0492606,324.3,12122.8,218.99,-1.80539,0
0.0508,323.068,12193.8,224.815,-1.6961,0
0.0523394,320.624,12322.5,235.957,-1.54777,0
0.0538788,318.25,12425.6,246.33,-1.37775,0
0.0554182,316.055,12515.1,255.535,-1.20068,0
0.0569576,313.994,12593.2,263.826,-1.09031,0
0.058497,312.977,12626.6,267.81,-1.04746,0
0.0600364,311.055,12678.5,275.235,-0.929302,0
0.0615758,309.281,12721.2,281.966,-0.82179,0
0.0631152,308.44,12738.6,285.118,-0.772243,0
0.0646545,306.839,12768,291.037,-0.684653,0
0.0661939,305.403,12796.7,296.304,-0.597336,0
0.0677333,304.742,12809.6,298.715,-0.556432,0
0.0692727,303.475,12832.3,303.284,-0.50103,0
0.0708121,302.877,12841.2,305.43,-0.469825,0
0.0723515,301.786,12859.5,309.358,-0.412691,0
0.0738909,300.808,12877.7,312.898,-0.363297,0
0.0754303,300.361,12887.6,314.535,-0.336764,0
0.0769697,299.559,12909.7,317.468,-0.295258,0
0.0785091,299.197,12921.6,318.793,-0.281512,0
0.0800485,298.507,12945,321.306,-0.249218,0
0.0815879,298.202,12958.8,322.422,-0.231445,0
0.0831273,297.924,12973.6,323.44,-0.219661,0
0.0846667,297.343,13000.8,325.503,-0.216384,0
0.0862061,297.003,12998.2,326.682,-0.205762,0
0.0877455,296.16,12962.4,329.536,-0.197291,0
0.0892848,295.518,12925.3,331.671,-0.168067,0
0.0908242,295.607,12973.6,331.58,-0.0858965,0
0.0923636,295.145,12967.4,333.272,-0.118351,0
0.093903,295.28,13009,333,-0.0598176,0
0.0954424,295.237,13035.9,333.207,-0.0924055,0
0.0969818,295.07,13082.5,333.906,-0.11487,0
0.0985212,294.955,13099.1,334.358,-0.106148,0
0.100061,294.831,13113.5,334.833,-0.105493,0
0.1016,294.593,13143,335.758,-0.0989508,0
0.103139,294.493,13158.4,336.161,-0.0939127,0
0.104679,294.388,13173.7,336.58,-0.0942066,0
0.106218,294.276,13185.1,337.021,-0.0875815,0
0.107758,294.038,13201.7,337.95,-0.0778088,0
0.109297,293.924,13209,338.406,-0.070914,0
0.110836,293.831,13217,338.797,-0.0656628,0
0.112376,293.742,13225.1,339.176,-0.0609054,0
0.113915,293.577,13240.3,339.888,-0.0537643,0
0.115455,293.494,13247,340.237,-0.0497262,0
0.116994,293.424,13254.7,340.541,-0.0467741,0
0.118533,293.351,13260.2,340.859,-0.0443844,0
0.120073,293.274,13264.5,341.194,-0.037726,0
0.121612,293.191,13263.8,341.548,-0.027491,0
0.123152,293.119,13262,341.888,-0.0139113,0
0.124691,292.916,13247.7,342.809,-0.00994389,0
0.12623,292.973,13258.7,342.793,0.0157292,0
0.12777,292.973,13258.9,342.899,0.0251233,0
0.129309,292.967,13259.5,343.102,0.0138875,0
0.130848,293.012,13266,343.066,0.0311805,0
0.132388,293.047,13271.9,343.09,0.0231896,0
0.133927,293.105,13281.5,343.034,0.0259721,0
0.135467,293.171,13292.5,342.955,0.025887,0
0.137006,293.225,13302.8,342.887,0.0224639,0
0.138545,293.285,13314.9,342.798,0.0180461,0
0.140085,293.338,13325,342.722,0.0215801,0
0.141624,293.381,13334.6,342.661,0.0157658,0
0.143164,293.426,13344.1,342.593,0.0171073,0
0.144703,293.456,13351.8,342.574,0.00793016,0
0.146242,293.481,13358,342.584,0.00928419,0
0.147782,293.497,13362,342.614,0.0103043,0
0.149321,293.515,13364.5,342.667,0.0132024,0
0.150861,293.517,13363.7,342.749,0.0142653,0
0.1524,293.515,13361.8,342.848,0.0151357,0
