distance,T,p,U_0,U_1,U_2
0,357.116,3497.66,12.3279,-4.84191,0
0.00153939,356.879,3474.71,19.9159,0.576658,0
0.00307879,357.118,3467.42,15.6188,0.706164,0
0.00461818,356.464,3444.65,6.26277,3.13961,0
0.00615758,350.761,3418.05,-42.8542,10.3172,0
0.00769697,347.429,3339.05,-109.636,4.67181,0
0.00923636,343.653,3279.45,-145.797,2.61549,0
0.0107758,340.661,3272.08,-167.373,2.00793,0
0.0123152,338.225,3311.49,-181.787,1.71289,0
0.0138545,337.044,3367.14,-187.865,1.64594,0
0.0153939,336.24,3508.75,-191.214,1.51107,0
0.0169333,336.614,3724.43,-187.62,0.680496,0
0.0184727,337.548,3914.18,-181.288,0.214755,0
0.0200121,339.767,4272.18,-166.659,-0.663648,0
0.0215515,341.599,4558.96,-153.446,-1.23164,0
0.0230909,344.626,5062.55,-128.853,-2.14673,0
0.0246303,346.584,5441,-110.087,-2.68632,0
0.0261697,348.325,5850.47,-90.0683,-3.09215,0
0.0277091,350.388,6522.03,-58.3331,-3.81898,0
0.0292485,351.265,6994.48,-36.509,-4.10626,0
0.0307879,351.703,7482.33,-14.0985,-4.46322,0
0.0323273,351.637,7976.31,8.21416,-4.25166,0
0.0338667,350.621,8711.37,41.9005,-3.29245,0
0.0354061,349.414,9183.68,63.7939,-3.24161,0
0.0369455,347.866,9634.68,84.6899,-3.11249,0
0.0384848,346.023,10060.7,104.562,-2.98955,0
0.0400242,343.888,10455.8,123.683,-2.87825,0
0.0415636,341.549,10819.4,141.953,-2.75849,0
0.043103,339.037,11146.1,159.054,-2.63504,0
0.0446424,336.391,11434.6,174.969,-2.43969,0
0.0461818,333.647,11686.4,190.009,-2.25291,0
0.0477212,330.844,11901.2,204.191,-2.05434,0
0.0492606,328.034,12084.2,217.405,-1.87988,0
0.0508,326.677,12168.2,223.68,-1.78287,0
0.0523394,324.016,12314.1,235.178,-1.59448,0
0.0538788,321.44,12435.3,245.846,-1.43959,0
0.0554182,318.962,12535.9,255.659,-1.29146,0
0.0569576,316.613,12620.1,264.63,-1.15232,0
0.058497,315.48,12655,268.796,-1.07932,0
0.0600364,313.345,12719.7,276.621,-0.961355,0
0.0615758,311.367,12774.9,283.686,-0.853806,0
0.0631152,310.421,12799.2,287.019,-0.812491,0
0.0646545,308.545,12828.2,293.508,-0.742024,0
0.0661939,306.739,12838.9,299.661,-0.646355,0
0.0677333,305.927,12847.4,302.392,-0.595891,0
0.0692727,304.504,12872.2,307.139,-0.512022,0
0.0708121,303.84,12885.5,309.339,-0.489377,0
0.0723515,302.526,12899.2,313.649,-0.43877,0
0.0738909,301.308,12907.3,317.61,-0.383251,0
0.0754303,300.754,12912.3,319.407,-0.357296,0
0.0769697,299.738,12923.8,322.683,-0.312665,0
0.0785091,299.271,12930.4,324.185,-0.291431,0
0.0800485,298.432,12948.2,326.869,-0.254545,0
0.0815879,298.069,12960.4,328.03,-0.23891,0
0.0831273,297.732,12974.4,329.105,-0.223477,0
0.0846667,297.133,13006.1,331.014,-0.198528,0
0.0862061,296.821,13021.2,332.001,-0.206264,0
0.0877455,296.128,13021.8,334.192,-0.199592,0
0.0892848,295.71,13006.3,335.515,-0.170004,0
0.0908242,295.088,12980.6,337.443,-0.179128,0
0.0923636,294.973,13028.7,337.938,-0.092948,0
0.093903,294.625,13026.3,339.047,-0.128643,0
0.0954424,294.658,13057.2,339.018,-0.0932871,0
0.0969818,294.498,13102.6,339.569,-0.102423,0
0.0985212,294.386,13124.3,339.945,-0.107934,0
0.100061,294.256,13141.9,340.369,-0.105096,0
0.1016,293.955,13166.6,341.339,-0.0977808,0
0.103139,293.797,13175.1,341.849,-0.0928087,0
0.104679,293.637,13182.4,342.364,-0.0878832,0
0.106218,293.477,13187.2,342.882,-0.0822806,0
0.107758,293.152,13190.4,343.933,-0.0699403,0
0.109297,292.998,13190.9,344.451,-0.0620913,0
0.110836,292.872,13192.8,344.875,-0.0545283,0
0.112376,292.764,13195.8,345.258,-0.048389,0
0.113915,292.578,13203.5,345.926,-0.0409792,0
0.115455,292.504,13208.5,346.198,-0.0380469,0
0.116994,292.441,13214.5,346.453,-0.0347317,0
0.118533,292.391,13221.4,346.655,-0.0321623,0
0.120073,292.348,13229.7,346.851,-0.0308698,0
0.121612,292.33,13239.6,346.965,-0.0230457,0
0.123152,292.332,13250.8,347.041,-0.0195568,0
0.124691,292.35,13273.4,347.119,-0.0114067,0
0.12623,292.361,13284.3,347.15,-0.00967274,0
0.12777,292.372,13293.6,347.19,-0.0068974,0
0.129309,292.388,13303.3,347.195,-0.00320942,0
0.130848,292.408,13313.4,347.184,-0.00170307,0
0.132388,292.432,13323.4,347.161,-0.000590459,0
0.133927,292.448,13332.9,347.162,-0.00225174,0
0.135467,292.456,13339.8,347.176,-0.000436876,0
0.137006,292.448,13345.3,347.227,-0.00112309,0
0.138545,292.431,13345.2,347.31,0.00267613,0
0.140085,292.401,13342.5,347.435,0.0050748,0
0.141624,292.368,13338.4,347.573,0.00575862,0
0.143164,292.321,13331.8,347.731,0.0126551,0
0.144703,292.297,13324.3,347.894,0.0160555,0
0.146242,292.312,13324.4,347.887,0.0146499,0
0.147782,292.325,13322.4,347.902,0.0187786,0
0.149321,292.35,13322.5,347.881,0.0207677,0
0.150861,292.398,13325.5,347.8,0.0199335,0
0.1524,292.461,13330.6,347.675,0.0229036,0
