distance,T,p,U_0,U_1,U_2
0,360.408,3483.3,12.6762,-4.97737,0
0.00153939,360.414,3459.85,20.3479,0.59904,0
0.00307879,361.029,3452.5,15.8432,0.71736,0
0.00461818,359.612,3429.08,5.85673,3.36144,0
0.00615758,351.678,3402.94,-45.0556,10.6872,0
0.00769697,348.226,3321.74,-111.332,4.59245,0
0.00923636,344.392,3263.34,-147.086,2.60491,0
0.0107758,341.355,3257.27,-168.488,2.00931,0
0.0123152,338.878,3298.02,-182.781,1.71558,0
0.0138545,337.678,3354.66,-188.768,1.65358,0
0.0153939,336.851,3497.83,-191.987,1.50987,0
0.0169333,337.2,3714.98,-188.259,0.698109,0
0.0184727,338.112,3905.63,-181.875,0.215236,0
0.0200121,340.318,4266.11,-167.035,-0.654533,0
0.0215515,342.143,4555,-153.668,-1.23451,0
0.0230909,345.11,5058.53,-129.267,-2.12917,0
0.0246303,347.052,5440.16,-110.503,-2.66335,0
0.0261697,348.834,5858.6,-90.0767,-3.28667,0
0.0277091,350.883,6538.23,-57.6431,-3.84789,0
0.0292485,351.756,7014.43,-35.2424,-4.23337,0
0.0307879,352.131,7502.3,-12.8906,-4.40916,0
0.0323273,352.002,7996.09,9.65702,-4.28425,0
0.0338667,350.929,8727.83,43.1769,-3.24857,0
0.0354061,349.686,9199.2,64.9258,-3.21802,0
0.0369455,348.091,9649.41,85.7953,-3.12481,0
0.0384848,346.191,10073.7,105.764,-3.01429,0
0.0400242,344.014,10467.6,124.94,-2.8892,0
0.0415636,341.636,10830.1,143.269,-2.77157,0
0.043103,339.088,11156.5,160.402,-2.63184,0
0.0446424,336.408,11446.4,176.298,-2.4335,0
0.0461818,333.623,11698.8,191.397,-2.26688,0
0.0477212,330.794,11912.7,205.668,-2.08118,0
0.0492606,327.996,12095.1,218.75,-1.86787,0
0.0508,326.612,12174.6,224.827,-1.74592,0
0.0523394,323.966,12325.1,236.222,-1.57672,0
0.0538788,321.412,12452.1,246.794,-1.45594,0
0.0554182,318.913,12551.6,256.618,-1.28205,0
0.0569576,316.516,12630,265.726,-1.16717,0
0.058497,315.328,12658.2,270.093,-1.09608,0
0.0600364,313.104,12709,278.211,-0.966051,0
0.0615758,311.122,12760,285.252,-0.833965,0
0.0631152,310.218,12787.2,288.388,-0.780815,0
0.0646545,308.434,12829.1,294.527,-0.728849,0
0.0661939,306.605,12835,300.713,-0.647205,0
0.0677333,305.768,12840.4,303.502,-0.594262,0
0.0692727,304.333,12862.3,308.256,-0.506528,0
0.0708121,303.681,12875.4,310.394,-0.477304,0
0.0723515,302.402,12893.6,314.555,-0.432225,0
0.0738909,301.194,12902.6,318.458,-0.379608,0
0.0754303,300.64,12907.4,320.242,-0.355092,0
0.0769697,299.625,12918.8,323.504,-0.309501,0
0.0785091,299.167,12926.5,324.976,-0.287055,0
0.0800485,298.363,12947.9,327.554,-0.250155,0
0.0815879,298.007,12960.7,328.693,-0.237852,0
0.0831273,297.666,12974.5,329.783,-0.223757,0
0.0846667,297.069,13006,331.688,-0.197229,0
0.0862061,296.762,13021.2,332.663,-0.204683,0
0.0877455,296.077,13022.2,334.833,-0.19805,0
0.0892848,295.662,13006.5,336.148,-0.168399,0
0.0908242,295.043,12980.5,338.07,-0.17764,0
0.0923636,294.936,13029.1,338.543,-0.0915563,0
0.093903,294.599,13027.4,339.623,-0.126368,0
0.0954424,294.633,13058.2,339.587,-0.0916839,0
0.0969818,294.477,13104.1,340.118,-0.100991,0
0.0985212,294.366,13126,340.482,-0.106735,0
0.100061,294.236,13143.5,340.895,-0.103655,0
0.1016,293.936,13168.6,341.835,-0.0963129,0
0.103139,293.778,13177.5,342.327,-0.091497,0
0.104679,293.619,13185.3,342.826,-0.0872981,0
0.106218,293.456,13190.3,343.338,-0.0813712,0
0.107758,293.123,13192.1,344.393,-0.0688157,0
0.109297,292.965,13192.1,344.9,-0.0605589,0
0.110836,292.832,13193.6,345.341,-0.053507,0
0.112376,292.722,13196.3,345.715,-0.0478509,0
0.113915,292.534,13203.8,346.381,-0.0398142,0
0.115455,292.465,13209.2,346.646,-0.0363491,0
0.116994,292.407,13215,346.878,-0.0340861,0
0.118533,292.344,13221.4,347.127,-0.0340769,0
0.120073,292.311,13230.1,347.279,-0.0261094,0
0.121612,292.304,13240.4,347.383,-0.0213181,0
0.123152,292.309,13251.6,347.438,-0.0158145,0
0.124691,292.333,13274.9,347.502,-0.00971988,0
0.12623,292.347,13285,347.528,-0.00771549,0
0.12777,292.364,13295.2,347.546,-0.00475645,0
0.129309,292.383,13304.9,347.545,-0.00271719,0
0.130848,292.407,13314.8,347.534,-0.00131171,0
0.132388,292.435,13324.8,347.509,-0.000424857,0
0.133927,292.455,13334.2,347.504,-0.00193284,0
0.135467,292.474,13341,347.521,-0.00103235,0
0.137006,292.471,13345.7,347.573,-0.000703531,0
0.138545,292.461,13345.1,347.66,0.00414112,0
0.140085,292.438,13342,347.789,0.00386866,0
0.141624,292.414,13337.5,347.927,0.00553708,0
0.143164,292.376,13330.7,348.084,0.00849783,0
0.144703,292.368,13323,348.242,0.0178886,0
0.146242,292.387,13323.2,348.229,0.0146644,0
0.147782,292.408,13321.7,348.225,0.0206867,0
0.149321,292.44,13322.4,348.189,0.0211935,0
0.150861,292.495,13326.2,348.084,0.0214779,0
0.1524,292.56,13331.8,347.941,0.0241565,0
