distance,T,p,U_0,U_1,U_2
0.00155556,266.551,13230.5,424.015,-1.1296,0
0.00311111,177.487,5150.74,573.037,-170.857,0
0.00466667,143.609,4027.79,609.17,-200.942,0
0.00622222,128.79,3653.44,626.676,-207.188,0
0.00777778,118.658,3491.93,637.181,-213.553,0
0.00933333,113.704,3463.52,643.044,-213.673,0
0.0108889,110.374,3478.2,648.521,-212.735,0
0.0124444,106.438,3429.98,655.27,-212.574,0
0.014,104.222,3459.38,659.342,-212.978,0
0.0155556,104.261,3457.05,660.096,-212.134,0
0.0171111,104.787,3488.05,660.141,-211.294,0
0.0186667,104.281,3485.14,661.538,-211.45,0
0.0202222,104.283,3495.78,661.664,-211.261,0
0.0217778,104.302,3490.59,661.741,-210.775,0
0.0233333,104.476,3498.58,661.547,-210.496,0
0.0248889,104.612,3506.56,661.465,-209.969,0
0.0264444,104.579,3508.95,661.596,-209.805,0
0.028,104.55,3516.64,661.713,-209.541,0
0.0295556,104.592,3517.71,661.674,-209.459,0
0.0311111,104.617,3520.78,661.661,-209.369,0
0.0326667,103.258,3350.04,661.43,-216.494,0
0.0342222,104.632,3511.28,661.6,-209.581,0
0.0357778,104.629,3510.75,661.643,-209.56,0
0.0373333,104.665,3513.46,661.633,-209.529,0
0.0388889,104.672,3515.82,661.674,-209.36,0
0.0404444,104.674,3517.59,661.722,-209.193,0
0.042,104.7,3520.32,661.716,-209.017,0
0.0435556,104.818,3527.46,661.546,-208.902,0
0.0451111,104.894,3533.34,661.49,-208.747,0
0.0466667,104.912,3535.55,661.542,-208.625,0
0.0482222,104.818,3528.31,661.772,-208.515,0
0.0497778,104.858,3531.33,661.761,-208.462,0
0.0513333,104.838,3532.75,661.815,-208.423,0
0.0528889,104.86,3536,661.846,-208.352,0
0.0544444,104.882,3536.86,661.912,-208.116,0
0.056,104.868,3538.44,661.954,-208.067,0
0.0575556,104.897,3539.67,661.956,-207.999,0
0.0591111,104.899,3539.95,662.024,-207.866,0
0.0606667,104.942,3542.81,662.067,-207.696,0
0.0622222,104.876,3539.94,662.212,-207.643,0
0.0637778,104.859,3540.1,662.263,-207.619,0
0.0653333,105.003,3545.71,662.097,-207.548,0
0.0668889,105.049,3552.73,662.154,-207.233,0
0.0684444,125.926,6057.43,646.777,-131.975,0
0.07,138.297,7814.23,632.716,-87.4335,0
0.0715556,159.27,12085.1,607.752,-14.4635,0
0.0731111,162.074,12764.8,603.28,-8.20381,0
0.0746667,162.136,12897.9,603.16,-1.09784,0
0.0762222,162.294,12960.8,602.769,0.322402,0
0.0777778,162.723,13121,601.407,0.945171,0
0.0793333,162.992,13198,600.55,1.4149,0
0.0808889,163.228,13288.7,599.55,2.79772,0
0.0824444,163.398,13341.4,599.027,3.43402,0
0.084,164.016,13484.5,597.718,3.93426,0
0.0855556,164.322,13552.3,597.158,4.15113,0
0.0871111,165.001,13636.9,596.441,5.09355,0
0.0886667,165.023,13648.2,596.23,5.46395,0
0.0902222,164.753,13650.7,596.124,5.60508,0
0.0917778,164.954,13706.6,595.553,5.84318,0
0.0933333,165.062,13739.8,595.238,5.80688,0
0.0948889,165.274,13783.7,594.634,5.80584,0
0.0964444,165.344,13785.1,594.505,5.9046,0
0.098,165.372,13780.3,594.46,5.94254,0
0.0995556,165.678,13767.9,594.081,5.84781,0
0.101111,165.419,13767.1,594.331,5.825,0
0.102667,165.456,13766.8,594.243,5.75108,0
0.104222,165.504,13758.5,594.245,5.69596,0
0.105778,165.505,13749.9,594.291,5.71448,0
0.107333,165.501,13737.8,594.37,5.7742,0
0.108889,165.481,13723.2,594.477,5.81506,0
0.110444,165.445,13698.9,594.703,5.73351,0
0.112,165.404,13682.2,594.898,5.65737,0
0.113556,165.345,13661,595.167,5.5511,0
0.115111,165.265,13635,595.517,5.47445,0
0.116667,165.162,13605.6,595.94,5.40361,0
0.118222,165.014,13548.3,596.801,5.57553,0
0.119778,164.961,13528.1,597.164,5.56406,0
0.121333,164.898,13507.3,597.535,5.51794,0
0.122889,164.853,13488.3,597.894,5.39339,0
0.124444,165.177,13464.1,597.612,5.31677,0
0.126,164.71,13439.1,598.778,5.03585,0
0.127556,164.591,13405.7,599.344,4.84376,0
0.129111,164.316,13330.7,600.624,4.41098,0
0.130667,164.16,13291,601.32,4.2515,0
0.132222,164.013,13255.4,602.031,4.11276,0
0.133778,163.873,13220.9,602.725,3.93529,0
0.135333,164.197,13190,602.612,3.83457,0
0.136889,164.053,13157.1,603.313,3.61869,0
0.138444,163.926,13128.1,603.947,3.26035,0
0.14,163.75,13093,604.676,3.0074,0
0.141556,163.108,13070.7,606.063,2.5637,0
0.143111,162.972,13053.4,606.488,2.26376,0
0.144667,162.825,13048.2,606.812,2.01796,0
0.146222,162.755,13052.8,606.928,1.72951,0
0.147778,162.586,13048,607.19,1.57492,0
0.149333,162.515,13056.9,607.244,1.34818,0
0.150889,162.344,13056.5,607.45,1.23254,0
0.152444,162.274,13067.3,607.507,1.01019,0
0.154,162.062,13064.9,607.821,0.802423,0
