distance,T,p,U_0,U_1,U_2
0.00155556,266.403,13212.2,424.372,-1.13641,0
0.00311111,179.131,5296.69,571.712,-164.961,0
0.00466667,144.536,4100.18,611.919,-189.973,0
0.00622222,131.076,3850.45,623.866,-204.885,0
0.00777778,120.992,3620.32,635.983,-206.2,0
0.00933333,113.768,3522.77,644.355,-209.654,0
0.0108889,108.637,3468.28,651.487,-210.422,0
0.0124444,105.508,3441.32,656.178,-212.116,0
0.014,104.266,3427.2,659.134,-212.488,0
0.0155556,104.307,3428.99,659.903,-212.779,0
0.0171111,104.75,3470.26,659.94,-212.088,0
0.0186667,104.203,3466.55,661.283,-211.778,0
0.0202222,103.936,3481.41,661.885,-211.686,0
0.0217778,104.044,3492.51,662.052,-210.988,0
0.0233333,104.236,3492.77,661.823,-210.833,0
0.0248889,104.471,3485.63,661.531,-210.651,0
0.0264444,104.638,3492.62,661.323,-210.446,0
0.028,104.677,3509.58,661.358,-210.132,0
0.0295556,104.614,3512.33,661.537,-209.874,0
0.0311111,104.621,3516.08,661.605,-209.627,0
0.0326667,103.029,3329.34,661.521,-217.373,0
0.0342222,104.797,3522.16,661.429,-209.329,0
0.0357778,104.871,3527.54,661.378,-209.144,0
0.0373333,104.849,3530.25,661.484,-208.921,0
0.0388889,104.79,3531.28,661.623,-208.779,0
0.0404444,104.84,3536.73,661.587,-208.659,0
0.042,104.89,3539.63,661.557,-208.523,0
0.0435556,104.939,3541.74,661.526,-208.387,0
0.0451111,104.938,3543.03,661.556,-208.313,0
0.0466667,104.974,3546.8,661.54,-208.209,0
0.0482222,104.95,3547.17,661.602,-208.147,0
0.0497778,104.965,3548.69,661.62,-208.023,0
0.0513333,105.011,3551.43,661.58,-207.938,0
0.0528889,105.036,3554.82,661.558,-207.898,0
0.0544444,105.007,3554.15,661.631,-207.813,0
0.056,105.038,3556.21,661.622,-207.697,0
0.0575556,105.065,3557.89,661.588,-207.679,0
0.0591111,105.061,3559.89,661.617,-207.617,0
0.0606667,105.106,3562.75,661.58,-207.52,0
0.0622222,105.116,3563.59,661.595,-207.436,0
0.0637778,105.112,3563.9,661.615,-207.393,0
0.0653333,105.17,3567.36,661.548,-207.307,0
0.0668889,105.152,3568.59,661.585,-207.282,0
0.0684444,104.585,3496.59,661.428,-210.493,0
0.07,105.587,3616.23,661.092,-206.203,0
0.0715556,123.026,5473.92,646.355,-147.54,0
0.0731111,138.04,7967.71,635.857,-81.1486,0
0.0746667,154.874,11201.8,616.769,-15.5996,0
0.0762222,158.802,12154.1,610.725,-14.9364,0
0.0777778,159.486,12358.2,609.7,-9.40798,0
0.0793333,159.276,12384.9,610.062,-7.92865,0
0.0808889,159.715,12525.5,609.333,-6.07801,0
0.0824444,160.016,12605,608.833,-5.88934,0
0.084,160.263,12719.9,608.439,-4.95042,0
0.0855556,160.163,12736.5,608.614,-4.35096,0
0.0871111,160.487,12831.4,608.62,-3.04896,0
0.0886667,160.628,12860.7,608.359,-2.82291,0
0.0902222,160.376,12845.3,608.285,-2.94289,0
0.0917778,160.434,12884.1,608.2,-2.35594,0
0.0933333,160.517,12906.2,608.068,-2.21061,0
0.0948889,160.579,12942.1,607.974,-1.97163,0
0.0964444,160.589,12956.1,607.963,-1.86312,0
0.098,160.635,12972.7,607.896,-1.75731,0
0.0995556,160.915,12996.7,607.693,-1.31683,0
0.101111,160.67,13003.4,607.851,-1.37578,0
0.102667,160.723,13020.6,607.769,-1.33723,0
0.104222,160.827,13057.6,607.606,-1.23901,0
0.105778,160.853,13072.3,607.566,-1.15302,0
0.107333,160.903,13088.6,607.487,-1.08408,0
0.108889,160.905,13096.3,607.487,-1.00809,0
0.110444,160.938,13112.4,607.434,-0.929259,0
0.112,160.957,13121,607.403,-0.919319,0
0.113556,160.982,13131.4,607.362,-0.920768,0
0.115111,161.02,13143.7,607.3,-0.907429,0
0.116667,161.039,13154.2,607.269,-0.845409,0
0.118222,161.067,13173.5,607.222,-0.565691,0
0.119778,161.136,13189.1,607.107,-0.351974,0
0.121333,161.084,13188.7,607.195,-0.0944789,0
0.122889,161.164,13202.2,607.06,0.119142,0
0.124444,161.387,13210.8,606.762,0.379429,0
0.126,161.18,13212.8,607.032,0.472593,0
0.127556,161.157,13214.5,607.069,0.594719,0
0.129111,161.202,13227.6,606.994,0.668843,0
0.130667,161.217,13233.9,606.967,0.665835,0
0.132222,161.234,13240.8,606.937,0.649828,0
0.133778,161.252,13248.3,606.905,0.62367,0
0.135333,161.506,13255.1,606.533,0.660152,0
0.136889,161.524,13263.2,606.498,0.619564,0
0.138444,161.55,13272.3,606.451,0.593425,0
0.14,161.576,13281.6,606.405,0.576816,0
0.141556,161.37,13291.2,606.701,0.500027,0
0.143111,161.397,13300,606.653,0.522939,0
0.144667,161.408,13306.7,606.634,0.575969,0
0.146222,161.439,13315.8,606.579,0.637452,0
0.147778,161.434,13319.5,606.586,0.729117,0
0.149333,161.47,13327.8,606.525,0.84436,0
0.150889,161.436,13326.3,606.579,0.986152,0
0.152444,161.481,13333.6,606.503,1.11574,0
0.154,161.446,13331.9,606.559,1.25518,0
