distance,T,p,U_0,U_1,U_2
0.00155556,250.946,13267.2,434.632,-1.48692,0
0.00311111,173.478,5608.59,567.338,-153.306,0
0.00466667,146.922,4441.53,605.094,-179.834,0
0.00622222,134.776,4091.51,618.923,-197.134,0
0.00777778,126.389,3870.17,630.666,-201.229,0
0.00933333,119.588,3699.63,640.174,-204.349,0
0.0108889,114.308,3602.69,647.561,-206.099,0
0.0124444,110.746,3556.72,652.186,-208.243,0
0.014,108.786,3530.63,655.131,-208.872,0
0.0155556,108.245,3547.92,655.959,-209.081,0
0.0171111,107.251,3535.93,657.596,-208.992,0
0.0186667,105.88,3513.11,659.687,-209.44,0
0.0202222,105.208,3508.64,660.712,-209.811,0
0.0217778,104.928,3513.4,661.158,-209.972,0
0.0233333,105.036,3514.61,661.043,-209.679,0
0.0248889,105.127,3518.69,660.995,-209.286,0
0.0264444,105.043,3519.9,661.16,-209.175,0
0.028,104.88,3520.53,661.387,-209.158,0
0.0295556,104.949,3526.22,661.3,-209.028,0
0.0311111,104.983,3530.82,661.289,-208.866,0
0.0326667,103.523,3363.54,661.241,-215.905,0
0.0342222,104.941,3534.82,661.477,-208.499,0
0.0357778,104.997,3540.23,661.42,-208.416,0
0.0373333,105.065,3546.58,661.363,-208.277,0
0.0388889,105.001,3546.41,661.51,-208.132,0
0.0404444,105.054,3552.57,661.466,-208.022,0
0.042,105.089,3556.57,661.464,-207.862,0
0.0435556,105.049,3556.85,661.55,-207.794,0
0.0451111,105.086,3559.93,661.551,-207.614,0
0.0466667,105.114,3562.26,661.518,-207.583,0
0.0482222,105.149,3565.18,661.514,-207.455,0
0.0497778,105.119,3565.1,661.583,-207.375,0
0.0513333,105.156,3567.91,661.557,-207.282,0
0.0528889,105.177,3570.1,661.55,-207.237,0
0.0544444,105.159,3570.31,661.592,-207.177,0
0.056,105.179,3571.76,661.592,-207.087,0
0.0575556,105.201,3573.01,661.562,-207.075,0
0.0591111,105.208,3573.88,661.569,-207.027,0
0.0606667,105.214,3574.47,661.576,-206.985,0
0.0622222,105.223,3575.05,661.576,-206.946,0
0.0637778,105.209,3574.99,661.604,-206.931,0
0.0653333,105.238,3576.56,661.579,-206.889,0
0.0668889,105.214,3575.02,661.609,-206.913,0
0.0684444,105.324,3566.44,660.851,-208.784,0
0.07,108.071,3815.95,659.403,-199.985,0
0.0715556,130.561,6618.53,645.159,-115.849,0
0.0731111,154.538,9952.18,613.952,-67.1223,0
0.0746667,158.963,12365.5,610.104,-18.0456,0
0.0762222,157.32,12303.6,612.982,-8.4551,0
0.0777778,158.14,12449.7,611.597,-6.3176,0
0.0793333,158.295,12481.3,611.334,-6.64605,0
0.0808889,158.616,12571.5,610.859,-6.30789,0
0.0824444,158.749,12625.7,610.651,-5.857,0
0.084,159.035,12727,610.201,-4.72471,0
0.0855556,159.28,12780.3,609.806,-4.27976,0
0.0871111,159.428,12852.3,609.672,-3.43015,0
0.0886667,159.433,12863.8,609.66,-3.12338,0
0.0902222,159.535,12872.3,609.409,-3.00146,0
0.0917778,159.655,12910.2,609.216,-2.71851,0
0.0933333,159.678,12924.4,609.181,-2.56934,0
0.0948889,159.761,12953.4,609.048,-2.2737,0
0.0964444,159.842,12971.9,608.914,-2.16691,0
0.098,159.857,12983.3,608.892,-2.01471,0
0.0995556,160.041,13020.1,608.637,-1.63568,0
0.101111,160.02,13030.2,608.624,-1.62515,0
0.102667,159.993,13033.4,608.67,-1.40932,0
0.104222,160.035,13048.5,608.604,-0.989098,0
0.105778,160.079,13056.5,608.532,-0.833379,0
0.107333,160.086,13058.9,608.522,-0.770323,0
0.108889,160.089,13061.5,608.517,-0.779298,0
0.110444,160.106,13069.6,608.49,-0.847001,0
0.112,160.127,13076.3,608.456,-0.872934,0
0.113556,160.158,13085.3,608.406,-0.87497,0
0.115111,160.192,13096.5,608.35,-0.845487,0
0.116667,160.25,13111.7,608.254,-0.788693,0
0.118222,160.376,13149.7,608.047,-0.589264,0
0.119778,160.41,13166.1,607.993,-0.432004,0
0.121333,160.497,13187.7,607.85,-0.346394,0
0.122889,160.524,13201.3,607.807,-0.206085,0
0.124444,160.758,13222.3,607.44,-0.0351856,0
0.126,160.607,13227.4,607.672,-0.0186641,0
0.127556,160.662,13240.1,607.582,0.0497549,0
0.129111,160.711,13256.2,607.502,0.234597,0
0.130667,160.703,13258.9,607.516,0.338277,0
0.132222,160.74,13266,607.455,0.442348,0
0.133778,160.718,13265.8,607.493,0.564284,0
0.135333,160.941,13276.6,607.133,0.697975,0
0.136889,160.914,13274.8,607.179,0.820081,0
0.138444,160.955,13281.4,607.109,0.915688,0
0.14,160.94,13280.1,607.134,0.992035,0
0.141556,160.768,13279.5,607.411,1.0468,0
0.143111,160.78,13282.2,607.391,1.06226,0
0.144667,160.783,13284,607.386,1.05452,0
0.146222,160.793,13287.1,607.369,1.03356,0
0.147778,160.803,13291.1,607.352,0.999258,0
0.149333,160.825,13297,607.315,0.954846,0
0.150889,160.841,13303.2,607.29,0.901533,0
0.152444,160.871,13311.5,607.24,0.859926,0
0.154,160.9,13320.5,607.194,0.816989,0
