distance,T,p,U_0,U_1,U_2
0.00155556,266.468,13220.4,424.215,-1.1323,0
0.00311111,178.161,5209.92,571.988,-171.014,0
0.00466667,144.96,4095.67,608.354,-196.741,0
0.00622222,131.326,3822.96,621.191,-208.219,0
0.00777778,121.298,3611.12,634.454,-208.452,0
0.00933333,113.358,3500.81,644.451,-211.602,0
0.0108889,108.613,3463.49,651.362,-211.581,0
0.0124444,106.231,3455,655.492,-211.751,0
0.014,104.91,3446.74,658.585,-212.082,0
0.0155556,105.47,3495.96,658.66,-211.262,0
0.0171111,104.44,3474.08,661.216,-210.709,0
0.0186667,103.872,3473.01,662.127,-211.582,0
0.0202222,104.213,3484.55,661.583,-211.358,0
0.0217778,104.845,3512.95,661.036,-210.11,0
0.0233333,104.575,3511.25,661.516,-209.915,0
0.0248889,104.55,3524.66,661.706,-209.563,0
0.0264444,104.766,3529.6,661.506,-209.207,0
0.028,104.822,3531.41,661.552,-208.84,0
0.0295556,104.782,3535.05,661.669,-208.667,0
0.0311111,104.971,3545.77,661.455,-208.382,0
0.0326667,103.494,3376.9,661.487,-215.309,0
0.0342222,104.998,3550.61,661.571,-207.991,0
0.0357778,105.057,3554.83,661.518,-207.865,0
0.0373333,105.01,3555.25,661.581,-207.824,0
0.0388889,105.071,3558.94,661.503,-207.74,0
0.0404444,105.095,3560.92,661.485,-207.658,0
0.042,105.122,3562.86,661.492,-207.536,0
0.0435556,105.11,3563.26,661.538,-207.462,0
0.0451111,105.109,3565.43,661.552,-207.431,0
0.0466667,105.135,3567,661.544,-207.357,0
0.0482222,105.148,3567.59,661.558,-207.273,0
0.0497778,105.153,3568.2,661.569,-207.238,0
0.0513333,105.162,3569.71,661.584,-207.185,0
0.0528889,105.173,3570.85,661.587,-207.127,0
0.0544444,105.156,3571.29,661.626,-207.114,0
0.056,105.156,3572.03,661.641,-207.081,0
0.0575556,105.153,3571.99,661.65,-207.083,0
0.0591111,105.181,3572.23,661.621,-207.059,0
0.0606667,105.198,3573.35,661.601,-207.027,0
0.0622222,105.213,3574.08,661.586,-206.99,0
0.0637778,105.207,3573.97,661.602,-206.973,0
0.0653333,105.193,3575.1,661.63,-206.956,0
0.0668889,105.207,3578.5,661.638,-206.876,0
0.0684444,104.77,3519.75,661.415,-209.666,0
0.07,106.446,3694.02,660.427,-203.435,0
0.0715556,130.339,6384.29,639.235,-123.538,0
0.0731111,143.892,8977.22,630.021,-53.2367,0
0.0746667,157.216,11775.4,613.151,-10.8443,0
0.0762222,160.229,12430.4,608.28,-9.79791,0
0.0777778,160.323,12496.6,608.086,-6.08184,0
0.0793333,160.372,12569.3,608.007,-5.68782,0
0.0808889,160.284,12604.8,608.105,-4.78561,0
0.0824444,160.401,12661.6,607.832,-4.85573,0
0.084,160.545,12746.5,607.605,-4.44212,0
0.0855556,160.484,12760.6,607.728,-4.08136,0
0.0871111,161.078,12847.3,607.529,-3.14791,0
0.0886667,161.113,12869.7,607.375,-2.87794,0
0.0902222,160.82,12890.1,607.037,-3.07475,0
0.0917778,160.971,12948.1,606.754,-2.69095,0
0.0933333,160.922,12954.5,606.876,-2.40031,0
0.0948889,160.978,12977.8,606.822,-1.74987,0
0.0964444,161.113,12997.6,606.616,-1.42848,0
0.098,161.075,12999.2,606.704,-1.1058,0
0.0995556,161.6,13043.5,606.227,-0.539683,0
0.101111,161.322,13060.4,606.318,-0.641729,0
0.102667,161.378,13080.7,606.213,-0.523524,0
0.104222,161.483,13121.9,606.012,-0.35225,0
0.105778,161.567,13145.3,605.867,-0.307517,0
0.107333,161.607,13162,605.797,-0.175059,0
0.108889,161.683,13181.6,605.666,-0.125815,0
0.110444,161.754,13204.3,605.518,0.00818691,0
0.112,161.782,13214,605.452,0.0469153,0
0.113556,161.811,13224.4,605.386,0.0368662,0
0.115111,161.842,13234.7,605.321,0.0484624,0
0.116667,161.88,13245.3,605.245,0.0825154,0
0.118222,161.94,13263.7,605.131,0.283099,0
0.119778,161.914,13265.4,605.167,0.460995,0
0.121333,161.985,13278.5,605.037,0.661906,0
0.122889,161.943,13278.3,605.094,0.912538,0
0.124444,162.385,13302.6,604.442,1.15879,0
0.126,162.011,13296.7,604.951,1.33137,0
0.127556,162.098,13312.8,604.799,1.4479,0
0.129111,162.195,13339.7,604.601,1.66366,0
0.130667,162.255,13357.1,604.477,1.76385,0
0.132222,162.341,13378.3,604.31,1.78395,0
0.133778,162.401,13396.2,604.176,1.87782,0
0.135333,162.803,13419,603.543,2.02821,0
0.136889,162.865,13435.5,603.394,2.08065,0
0.138444,162.921,13450.4,603.248,2.14079,0
0.14,162.973,13462.6,603.11,2.11884,0
0.141556,162.668,13467.3,603.499,2.17025,0
0.143111,162.703,13475.6,603.37,2.24582,0
0.144667,162.688,13476.2,603.33,2.38709,0
0.146222,162.741,13483.9,603.187,2.49441,0
0.147778,162.758,13492.5,603.085,2.65482,0
0.149333,162.829,13509.2,602.889,2.75946,0
0.150889,162.894,13528,602.699,2.90846,0
0.152444,162.998,13554.3,602.443,3.04158,0
0.154,163.106,13583.4,602.173,3.22288,0
