distance,T,p,U_0,U_1,U_2
0.00155556,266.403,13212.2,424.372,-1.13641,0
0.00311111,179.132,5296.76,571.712,-164.957,0
0.00466667,144.535,4100.16,611.921,-189.969,0
0.00622222,131.077,3850.54,623.867,-204.883,0
0.00777778,120.993,3620.39,635.984,-206.197,0
0.00933333,113.769,3522.81,644.356,-209.652,0
0.0108889,108.638,3468.3,651.489,-210.421,0
0.0124444,105.507,3441.24,656.181,-212.116,0
0.014,104.265,3426.92,659.135,-212.493,0
0.0155556,104.307,3428.85,659.902,-212.787,0
0.0171111,104.755,3470.48,659.933,-212.091,0
0.0186667,104.205,3466.44,661.279,-211.778,0
0.0202222,103.938,3481.24,661.885,-211.692,0
0.0217778,104.042,3492.36,662.055,-210.995,0
0.0233333,104.235,3492.65,661.824,-210.84,0
0.0248889,104.474,3485.48,661.511,-210.676,0
0.0264444,104.593,3489.57,661.397,-210.464,0
0.028,104.666,3508.8,661.398,-210.065,0
0.0295556,104.542,3510.5,661.648,-209.854,0
0.0311111,104.607,3516.27,661.618,-209.638,0
0.0326667,103.024,3329.61,661.543,-217.332,0
0.0342222,104.803,3521.88,661.413,-209.346,0
0.0357778,104.886,3527.99,661.36,-209.129,0
0.0373333,104.854,3530.68,661.485,-208.891,0
0.0388889,104.79,3531.93,661.626,-208.772,0
0.0404444,104.838,3537.3,661.594,-208.651,0
0.042,104.889,3539.83,661.563,-208.508,0
0.0435556,104.935,3541.49,661.533,-208.389,0
0.0451111,104.94,3542.79,661.546,-208.333,0
0.0466667,104.972,3546.42,661.537,-208.226,0
0.0482222,104.947,3547.02,661.603,-208.154,0
0.0497778,104.966,3548.84,661.621,-208.017,0
0.0513333,105.012,3551.66,661.58,-207.929,0
0.0528889,105.037,3554.94,661.558,-207.888,0
0.0544444,105.009,3554.35,661.63,-207.801,0
0.056,105.038,3556.31,661.625,-207.686,0
0.0575556,105.063,3557.89,661.594,-207.669,0
0.0591111,105.067,3560.14,661.607,-207.616,0
0.0606667,105.107,3563.4,661.577,-207.52,0
0.0622222,105.109,3563.73,661.601,-207.434,0
0.0637778,105.103,3563.85,661.624,-207.389,0
0.0653333,105.166,3567.17,661.556,-207.303,0
0.0668889,105.152,3568.35,661.59,-207.275,0
0.0684444,104.584,3496.28,661.433,-210.491,0
0.07,105.592,3616.07,661.089,-206.192,0
0.0715556,123.033,5474.63,646.344,-147.522,0
0.0731111,138.046,7968.48,635.842,-81.1359,0
0.0746667,154.876,11201.9,616.762,-15.5981,0
0.0762222,158.804,12154.1,610.719,-14.9347,0
0.0777778,159.487,12357.9,609.697,-9.41423,0
0.0793333,159.278,12384.4,610.061,-7.9302,0
0.0808889,159.72,12525.3,609.325,-6.07051,0
0.0824444,160.02,12604.6,608.826,-5.8867,0
0.084,160.268,12720.1,608.429,-4.95012,0
0.0855556,160.169,12736.7,608.604,-4.35043,0
0.0871111,160.491,12831.2,608.613,-3.04783,0
0.0886667,160.632,12860.2,608.352,-2.8179,0
0.0902222,160.38,12844.9,608.28,-2.93986,0
0.0917778,160.441,12884.3,608.19,-2.36175,0
0.0933333,160.523,12906.7,608.059,-2.21959,0
0.0948889,160.584,12942.6,607.966,-1.97856,0
0.0964444,160.593,12956.2,607.959,-1.8654,0
0.098,160.638,12972.7,607.892,-1.75535,0
0.0995556,160.917,12996.4,607.692,-1.31215,0
0.101111,160.673,13003.4,607.848,-1.3731,0
0.102667,160.725,13020.7,607.766,-1.33742,0
0.104222,160.83,13057.9,607.601,-1.2416,0
0.105778,160.856,13072.4,607.563,-1.15535,0
0.107333,160.906,13088.6,607.484,-1.08588,0
0.108889,160.907,13096.1,607.484,-1.00962,0
0.110444,160.94,13112.2,607.431,-0.932015,0
0.112,160.959,13120.9,607.4,-0.923064,0
0.113556,160.984,13131.4,607.358,-0.9246,0
0.115111,161.022,13143.7,607.296,-0.910233,0
0.116667,161.041,13154.2,607.265,-0.846947,0
0.118222,161.069,13173.5,607.219,-0.564727,0
0.119778,161.139,13189.1,607.102,-0.350521,0
0.121333,161.087,13188.9,607.19,-0.0926029,0
0.122889,161.167,13202.3,607.055,0.12108,0
0.124444,161.389,13211,606.757,0.381183,0
0.126,161.183,13212.8,607.027,0.474892,0
0.127556,161.16,13214.4,607.064,0.596513,0
0.129111,161.204,13227.5,606.989,0.67047,0
0.130667,161.22,13233.8,606.962,0.667068,0
0.132222,161.237,13240.7,606.932,0.650953,0
0.133778,161.255,13248.2,606.9,0.624405,0
0.135333,161.509,13255.1,606.528,0.660725,0
0.136889,161.527,13263.2,606.494,0.619251,0
0.138444,161.553,13272.4,606.447,0.592925,0
0.14,161.578,13281.6,606.401,0.575798,0
0.141556,161.371,13291.1,606.698,0.498754,0
0.143111,161.399,13300,606.65,0.521584,0
0.144667,161.409,13306.6,606.631,0.574433,0
0.146222,161.44,13315.8,606.577,0.635899,0
0.147778,161.435,13319.5,606.584,0.727658,0
0.149333,161.471,13327.7,606.522,0.842829,0
0.150889,161.437,13326.3,606.577,0.984748,0
0.152444,161.482,13333.6,606.5,1.11444,0
0.154,161.448,13331.9,606.556,1.25407,0
