distance,T,p,U_0,U_1,U_2
0,360.929,3478.44,12.668,-4.97312,0
0.00153939,360.958,3454.93,20.3747,0.596566,0
0.00307879,361.648,3447.56,15.8777,0.712211,0
0.00461818,360.084,3424.04,5.75011,3.42237,0
0.00615758,351.858,3398.04,-45.6512,10.7821,0
0.00769697,348.376,3316.34,-111.788,4.56969,0
0.00923636,344.53,3258.35,-147.427,2.60238,0
0.0107758,341.486,3252.76,-168.781,2.01008,0
0.0123152,339.005,3294,-183.04,1.71676,0
0.0138545,337.801,3350.97,-189.005,1.65625,0
0.0153939,336.972,3494.68,-192.194,1.5099,0
0.0169333,337.321,3712.5,-188.425,0.694312,0
0.0184727,338.237,3903.78,-181.995,0.21133,0
0.0200121,340.448,4265.36,-167.078,-0.672725,0
0.0215515,342.271,4554.84,-153.649,-1.23888,0
0.0230909,345.239,5059.73,-129.163,-2.16165,0
0.0246303,347.175,5441.88,-110.347,-2.66405,0
0.0261697,348.953,5861.29,-89.8808,-3.31491,0
0.0277091,350.983,6541.6,-57.3882,-3.85182,0
0.0292485,351.841,7018.21,-34.992,-4.23856,0
0.0307879,352.201,7506.61,-12.6539,-4.41177,0
0.0323273,352.059,8001.08,9.91183,-4.28154,0
0.0338667,350.964,8733.61,43.5285,-3.26124,0
0.0354061,349.706,9205.15,65.3443,-3.22713,0
0.0369455,348.103,9655.58,86.2407,-3.12665,0
0.0384848,346.198,10080.2,106.206,-3.01505,0
0.0400242,344.014,10473.9,125.366,-2.88808,0
0.0415636,341.621,10835.5,143.707,-2.77795,0
0.043103,339.065,11161.6,160.908,-2.63654,0
0.0446424,336.388,11451.1,176.8,-2.42798,0
0.0461818,333.607,11703.3,191.833,-2.2577,0
0.0477212,330.771,11916.6,206.046,-2.08144,0
0.0492606,327.969,12098,219.062,-1.86625,0
0.0508,326.597,12180.4,225.199,-1.75458,0
0.0523394,323.943,12328,236.672,-1.59038,0
0.0538788,321.386,12454.4,247.121,-1.42567,0
0.0554182,318.897,12554.2,256.916,-1.2903,0
0.0569576,316.494,12631.2,266.002,-1.15916,0
0.058497,315.318,12660.6,270.317,-1.09042,0
0.0600364,313.091,12711.3,278.408,-0.965533,0
0.0615758,311.088,12760.3,285.489,-0.837986,0
0.0631152,310.173,12786.1,288.652,-0.781808,0
0.0646545,308.392,12827.2,294.762,-0.724723,0
0.0661939,306.582,12835.6,300.872,-0.644087,0
0.0677333,305.745,12840.7,303.667,-0.595539,0
0.0692727,304.288,12860.5,308.486,-0.507061,0
0.0708121,303.634,12873,310.629,-0.476095,0
0.0723515,302.366,12891.8,314.768,-0.42997,0
0.0738909,301.17,12902.2,318.638,-0.378028,0
0.0754303,300.619,12907.3,320.412,-0.353718,0
0.0769697,299.606,12919.1,323.658,-0.308209,0
0.0785091,299.147,12926.8,325.124,-0.28649,0
0.0800485,298.336,12947.7,327.698,-0.250171,0
0.0815879,297.976,12960.4,328.835,-0.237274,0
0.0831273,297.636,12974.3,329.913,-0.223154,0
0.0846667,297.04,13005.9,331.802,-0.196472,0
0.0862061,296.733,13021,332.77,-0.203679,0
0.0877455,296.05,13022.3,334.925,-0.197524,0
0.0892848,295.639,13007.1,336.226,-0.165983,0
0.0908242,295.028,12982,338.121,-0.17723,0
0.0923636,294.916,13029.3,338.619,-0.0916361,0
0.093903,294.588,13028.5,339.689,-0.12652,0
0.0954424,294.629,13059.5,339.653,-0.0921442,0
0.0969818,294.483,13105.5,340.196,-0.101616,0
0.0985212,294.379,13127.2,340.567,-0.107932,0
0.100061,294.258,13145,340.987,-0.104965,0
0.1016,293.974,13169.9,341.946,-0.0974973,0
0.103139,293.822,13178.3,342.449,-0.0924534,0
0.104679,293.666,13185.7,342.96,-0.0880621,0
0.106218,293.506,13189.9,343.484,-0.0817525,0
0.107758,293.174,13190.5,344.542,-0.0674869,0
0.109297,293.021,13190.5,345.037,-0.0597246,0
0.110836,292.886,13191.9,345.465,-0.050981,0
0.112376,292.776,13194.7,345.82,-0.0466124,0
0.113915,292.588,13202.9,346.432,-0.0386467,0
0.115455,292.509,13208.2,346.705,-0.036149,0
0.116994,292.442,13214.1,346.927,-0.0323813,0
0.118533,292.372,13221.1,347.152,-0.0330487,0
0.120073,292.331,13230,347.309,-0.0273092,0
0.121612,292.306,13240.2,347.403,-0.0199184,0
0.123152,292.292,13251.3,347.47,-0.0164172,0
0.124691,292.295,13274.6,347.545,-0.0104047,0
0.12623,292.299,13284.6,347.579,-0.00773009,0
0.12777,292.309,13294.8,347.597,-0.00600425,0
0.129309,292.323,13304.2,347.613,-0.00293265,0
0.130848,292.344,13313.9,347.606,-0.00174567,0
0.132388,292.372,13323.8,347.587,-0.00126656,0
0.133927,292.399,13333.2,347.587,-0.00197288,0
0.135467,292.427,13339.9,347.604,-0.000906608,0
0.137006,292.438,13344.9,347.657,-0.00105297,0
0.138545,292.435,13344.5,347.745,0.00344406,0
0.140085,292.422,13341.6,347.875,0.00378825,0
0.141624,292.405,13337.3,348.018,0.00393403,0
0.143164,292.374,13330.6,348.192,0.00671634,0
0.144703,292.371,13322.8,348.352,0.018285,0
0.146242,292.392,13322.9,348.341,0.0160788,0
0.147782,292.415,13321.8,348.33,0.022584,0
0.149321,292.447,13322.4,348.291,0.0229407,0
0.150861,292.5,13326.6,348.174,0.0218606,0
0.1524,292.558,13332,348.033,0.0247074,0
